BV号：BV1jK4y1S7jP
标题：BV1jK4y1S7jP
链接：https://www.bilibili.com/video/BV1jK4y1S7jP
识别语言：zh
语言置信度：1
分段数：185
生成时间：2026-04-04 00:40:25

[00:00:00 - 00:00:03] 大家都知道我最近在做高考志愿填爆的事情
[00:00:03 - 00:00:04] 那么前段时间
[00:00:04 - 00:00:08] 为了了解大家对于现代高考志愿填爆的一些核心的需求
[00:00:08 - 00:00:09] 还有一些疑惑的点
[00:00:09 - 00:00:11] 我也是拒绝了很多家长和考生
[00:00:11 - 00:00:12] 那么在一个群里边
[00:00:12 - 00:00:13] 那么在这个群里面
[00:00:13 - 00:00:15] 每天都会有很多的提问
[00:00:15 - 00:00:16] 这也让我明白一个事
[00:00:16 - 00:00:17] 就是其实家长和考生
[00:00:18 - 00:00:21] 在对这种志愿填爆是非常的重视
[00:00:21 - 00:00:22] 但是很多时候
[00:00:22 - 00:00:22] 又很无奈
[00:00:22 - 00:00:23] 就感觉使不上劲
[00:00:23 - 00:00:24] 对吧
[00:00:24 - 00:00:26] 大多数的学校和专业都不是很了解
[00:00:26 - 00:00:27] 所以说接下来
[00:00:27 - 00:00:30] 那針對大家一些概念上的東西和一些相關的數據
[00:00:30 - 00:00:32] 我都是盡力的啊
[00:00:32 - 00:00:33] 能夠統一的說出一下
[00:00:33 - 00:00:37] 那麼今天咱們先聊一個很多家長和考生都比較疑惑的一個事
[00:00:37 - 00:00:38] 就是張老師
[00:00:38 - 00:00:40] 那我的孩子在看學校的時候
[00:00:40 - 00:00:42] 經常會看到什麼什麼大學
[00:00:42 - 00:00:43] 什麼什麼分校
[00:00:43 - 00:00:44] 什麼什麼大學
[00:00:44 - 00:00:44] 什麼什麼校區
[00:00:44 - 00:00:45] 什麼什麼大學
[00:00:45 - 00:00:46] 什麼什麼學院
[00:00:46 - 00:00:47] 啊
[00:00:47 - 00:00:49] 老師就就有什麼差別啊
[00:00:49 - 00:00:51] 這就跟這個什麼什麼大學
[00:00:51 - 00:00:52] 就比如說哈工大
[00:00:52 - 00:00:54] 深圳哈工大危害
[00:00:54 - 00:00:55] 跟哈工大什麼差別
[00:00:55 - 00:00:59] 那个电子科技大学和电子科技大学成都学院是什么差别
[00:00:59 - 00:01:02] 对吧 证件大学和证件大学成都学院是什么差别
[00:01:02 - 00:01:06] 对吧 咱们今天就对这个事给大家好好地聊一聊
[00:01:06 - 00:01:08] 就是大家你要知道
[00:01:08 - 00:01:13] 这个大学后边它有这个学院或校区
[00:01:13 - 00:01:16] 这是完全不一样的概念
[00:01:16 - 00:01:18] 啊 就是你这个要是
[00:01:18 - 00:01:21] 选差了的话呢就会很要命啊
[00:01:21 - 00:01:22] 首先我们先说就是
[00:01:22 - 00:01:24] 呃 这个什么什么大学什么什么学院
[00:01:24 - 00:01:28] 大家注意如果说你看到的这个是什么什么大学什么什么学院
[00:01:28 - 00:01:31] 这个他叫做独立学院
[00:01:31 - 00:01:31] 那么
[00:01:32 - 00:01:35] 按照原来的观点来讲这种独立学院它其实是
[00:01:36 - 00:01:36] 三本
[00:01:37 - 00:01:38] 那么在去年
[00:01:39 - 00:01:41] 好像是广东省吧就出了这么一个事情就是
[00:01:42 - 00:01:46] 还好还不是一个哈就是考了630多分然后报了
[00:01:47 - 00:01:48] 某大学的
[00:01:48 - 00:01:49] 某学院
[00:01:50 - 00:01:50] 其实是个三本
[00:01:51 - 00:01:52] 就是那个考生就以为说
[00:01:52 - 00:01:55] 他抱的是某大学的某校区
[00:01:55 - 00:01:58] 但其实是某大学的某学院
[00:01:58 - 00:02:00] 就是你这个东西其实你正常来讲
[00:02:00 - 00:02:02] 你应该是可以抱住院的时候是看一下的
[00:02:02 - 00:02:04] 我分析一下就是这个学生
[00:02:04 - 00:02:05] 他当时在抱住院的时候
[00:02:05 - 00:02:07] 他根本就没有看数据
[00:02:08 - 00:02:09] 就是大家每个省发的那个书
[00:02:09 - 00:02:11] 他根本就没有看数据
[00:02:11 - 00:02:12] 如果他稍微看一看
[00:02:12 - 00:02:13] 他抱的这个学校
[00:02:13 - 00:02:14] 然后的话什么大学
[00:02:14 - 00:02:15] 什么学院
[00:02:15 - 00:02:17] 他稍微看一下的话
[00:02:17 - 00:02:19] 那么他都会发现怎么样
[00:02:19 - 00:02:22] 那个学校往年的录取的分数也好
[00:02:22 - 00:02:24] 录取的位子也好跟自己差别太大
[00:02:24 - 00:02:25] 他都不会报
[00:02:25 - 00:02:26] 但是他就没看
[00:02:26 - 00:02:29] 就以为是那个大学的什么什么学院
[00:02:30 - 00:02:33] 就是那个大学的另外一个小区就被报了
[00:02:33 - 00:02:35] 结果就出现了这样的一个高分
[00:02:35 - 00:02:37] 上了一个原三本的院校
[00:02:37 - 00:02:38] 那么你说老师
[00:02:38 - 00:02:38] 那这个我知道
[00:02:38 - 00:02:39] 就什么什么大学
[00:02:39 - 00:02:40] 什么什么学院
[00:02:40 - 00:02:41] 这是三本
[00:02:41 - 00:02:42] 那什么什么大学
[00:02:42 - 00:02:43] 什么什么分校
[00:02:43 - 00:02:45] 跟他原来那个本部有什么差别呢
[00:02:45 - 00:02:47] 比如像最著名的就是哈宫大
