BV号：BV1hR4y1W7vk
标题：BV1hR4y1W7vk
链接：https://www.bilibili.com/video/BV1hR4y1W7vk
识别语言：zh
语言置信度：1
分段数：64
生成时间：2026-04-03 21:05:52

[00:00:00 - 00:00:03] 上期我们说到有个古镇叫做念霸都
[00:00:03 - 00:00:04] 不只名字独特
[00:00:04 - 00:00:06] 更出彩的是这个镇有九种方言
[00:00:06 - 00:00:08] 建筑也是形式恶样
[00:00:08 - 00:00:11] 但是另外一个地方却与此大相敬听
[00:00:11 - 00:00:13] 他们一个村子居然就只有一栋建筑
[00:00:13 - 00:00:15] 是不是有的朋友已经猜到了
[00:00:15 - 00:00:19] 那就是我们中外文明的永定土楼
[00:00:19 - 00:00:22] 永定土楼的故事还得从1000多年前说起
[00:00:22 - 00:00:25] 当时的北宋被善战的金国给灭掉了
[00:00:25 - 00:00:28] 河南许多大户人家为了避战
[00:00:28 - 00:00:30] 就邪妻带子的逃往了南方
[00:00:30 - 00:00:34] 这些人也就被当地人称为叫客家
[00:00:34 - 00:00:37] 出入的客家人日子过得还是很困难的
[00:00:37 - 00:00:39] 直到清朝的康前时期
[00:00:39 - 00:00:42] 他们邻居一动开始种植起了烟草
[00:00:42 - 00:00:45] 而且它质量好的都可以给皇帝进贡的水平
[00:00:45 - 00:00:47] 这一下子可就发了财
[00:00:47 - 00:00:49] 这些人半辈子确凶时时
[00:00:49 - 00:00:50] 必占必怕了
[00:00:50 - 00:00:52] 为了自保他们就想到
[00:00:52 - 00:00:56] 哎我们拿赚到的钱建一个类似雕宝一样的东西
[00:00:56 - 00:00:58] 这样既能助人又能打仗
[00:00:58 - 00:01:00] 简直两全既美啊
[00:01:00 - 00:01:02] 想法一出他们就开始动手了
[00:01:02 - 00:01:06] 又因为福建当地最好取材的就是土
[00:01:06 - 00:01:08] 因此这些雕宝呢
[00:01:08 - 00:01:10] 也就被称为叫做土楼
[00:01:10 - 00:01:14] 土楼呢这种有点像巨大家庭式的祖团
[00:01:14 - 00:01:16] 一个姓氏建一座土楼
[00:01:16 - 00:01:20] 那么一栋楼到处都是老张啊小张啊对吧
[00:01:20 - 00:01:22] 那所有的人呢围成一个圆圈
[00:01:22 - 00:01:23] 中间呢供着组庙
[00:01:23 - 00:01:26] 大家比零而居抬頭無見低無見
[00:01:26 - 00:01:28] 那真是親如一家
[00:01:28 - 00:01:30] 就這樣就形成了上下百間
[00:01:30 - 00:01:33] 歷經百年的永定土樓
[00:01:33 - 00:01:36] 其實在中國這樣地方有很多很多
[00:01:36 - 00:01:38] 這些古村可以說承載著許多
[00:01:38 - 00:01:40] 在外生活的人的記憶
[00:01:40 - 00:01:42] 我們經常能夠看到在北上廣深
[00:01:42 - 00:01:45] 有許多20歲出頭的人
[00:01:45 - 00:01:48] 拼命的湧向高樓林立璀璨的燈火
[00:01:48 - 00:01:49] 無論他們是為夢想也好
[00:01:49 - 00:01:50] 為生活也罷
[00:01:50 - 00:01:51] 但是我敢相信
[00:01:51 - 00:01:53] 對於大多數的人來說
[00:01:53 - 00:01:58] 最美的建筑一定是那个承载着我们六年时记忆当中的那个家
[00:01:59 - 00:02:00] 家呢一时根
[00:02:00 - 00:02:03] 它是故乡人房上的一片青蛙
[00:02:03 - 00:02:06] 它是离乡有子心中的一模暖阳
[00:02:06 - 00:02:07] 好多人说呀
[00:02:07 - 00:02:09] 记忆与传承这本书呢
[00:02:09 - 00:02:11] 就像一个小型的建筑展览
[00:02:11 - 00:02:12] 新村
[00:02:12 - 00:02:12] 排放
[00:02:13 - 00:02:13] 宗词
[00:02:14 - 00:02:15] 这些静止的物件
[00:02:15 - 00:02:19] 把一个家背后的建筑故事演绎的非常的生动
[00:02:19 - 00:02:21] 朋友们如果感兴趣的话
[00:02:21 - 00:02:24] 不妨和我一起來讀這本記憶與傳承
[00:02:24 - 00:02:26] 一起走進那些
[00:02:26 - 00:02:27] 見遠的鳴居
[00:02:27 - 00:02:30] 走進那些藏在心裡的相仇
