BV号：BV1eh411s7S6
标题：BV1eh411s7S6
链接：https://www.bilibili.com/video/BV1eh411s7S6
识别语言：zh
语言置信度：1
分段数：72
生成时间：2026-04-03 21:21:18

[00:00:00 - 00:00:01] 因为确实在高火炸天锋当中
[00:00:01 - 00:00:03] 有很多专业的名字叫得比较
[00:00:03 - 00:00:04] 比较模糊
[00:00:04 - 00:00:05] 就很多人不知道是干啥的
[00:00:06 - 00:00:07] 我给大家举一个例子
[00:00:07 - 00:00:08] 好
[00:00:08 - 00:00:09] 比如说有这么一个专业
[00:00:09 - 00:00:11] 叫建筑环境与能源应用工程
[00:00:11 - 00:00:12] 你们知道这个专业是干吗的吗
[00:00:16 - 00:00:18] 这个专业我听都没有听清楚
[00:00:18 - 00:00:19] 都没听清楚
[00:00:22 - 00:00:23] 做中央空调的
[00:00:23 - 00:00:24] 您说对了
[00:00:25 - 00:00:25] 对
[00:00:25 - 00:00:26] 耶
[00:00:26 - 00:00:27] 还是可以
[00:00:27 - 00:00:28] 有慧根
[00:00:30 - 00:00:30] 对
[00:00:30 - 00:00:32] 这个专业的严重生的阶段
[00:00:32 - 00:00:34] 它叫做通风通暖
[00:00:34 - 00:00:36] 通然气急通调功成
[00:00:36 - 00:00:38] 所以说的话就要去给他讲解
[00:00:38 - 00:00:39] 这师门学问
[00:00:39 - 00:00:40] 可恶
[00:00:40 - 00:00:41] 包括像学医
[00:00:41 - 00:00:43] 很多人说要劝人学医
[00:00:43 - 00:00:44] 偏打了一批
[00:00:44 - 00:00:46] 我不知道他叫
[00:00:46 - 00:00:46] 我跟你说
[00:00:46 - 00:00:48] 雪峰各种这种词
[00:00:49 - 00:00:51] 医学的学生他的书
[00:00:51 - 00:00:53] 他一年的书要那么厚
[00:00:55 - 00:00:56] 医学这个专业的话
[00:00:56 - 00:00:57] 你就是本科毕业
[00:00:57 - 00:00:59] 他不是不好就业
[00:00:59 - 00:01:00] 他是无法就业
[00:01:00 - 00:01:01] 基本上的话
[00:01:01 - 00:01:03] 三甲医院都得要博士学历
[00:01:03 - 00:01:04] 30岁的时候其实
[00:01:04 - 00:01:06] 他刚刚进入到失业的起步阶段
[00:01:06 - 00:01:09] 40岁的时候进入到失业的上升阶段
[00:01:09 - 00:01:11] 50岁的时候才会进入到
[00:01:11 - 00:01:12] 失业的发展高速期
[00:01:12 - 00:01:14] 60岁可能到了顶峰
[00:01:14 - 00:01:15] 70岁你他退休了吗
[00:01:15 - 00:01:15] 不是
[00:01:15 - 00:01:17] 他还被反聘回来了
[00:01:17 - 00:01:17] 所以说的话
[00:01:17 - 00:01:19] 学医的时间成本会比较高
[00:01:19 - 00:01:21] 后极伯发
[00:01:21 - 00:01:22] 但是有些转业不是这样
[00:01:22 - 00:01:23] 你要计算机
[00:01:23 - 00:01:24] 大家觉得这个好转业对吧
[00:01:24 - 00:01:25] 这个可以快速挣钱
[00:01:25 - 00:01:26] 30岁的时候其实已经到了
[00:01:26 - 00:01:27] 失业的顶峰了
[00:01:27 - 00:01:28] 到了40岁的时候
[00:01:28 - 00:01:30] 已经到了失业的突头起了
[00:01:30 - 00:01:31] 突头起了
[00:01:31 - 00:01:33] 对
[00:01:33 - 00:01:34] 因为他用毛病
[00:01:34 - 00:01:35] 我
[00:01:36 - 00:01:39] 我从二十多岁就是涂头气
[00:01:39 - 00:01:40] 凯叔 我说这句话
[00:01:40 - 00:01:41] 我没看着你说
[00:01:41 - 00:01:42] 你看了我眼
[00:01:42 - 00:01:43] 我没看
[00:01:43 - 00:01:44] 你就是看了我眼
[00:01:47 - 00:01:48] 最重要的还是要用
[00:01:48 - 00:01:49] 专业性去打动考生和家长
[00:01:49 - 00:01:50] 去告诉他
[00:01:50 - 00:01:51] 这个东西是怎么样的
