BV号：BV1mP4y1c7s2
标题：BV1mP4y1c7s2
链接：https://www.bilibili.com/video/BV1mP4y1c7s2
识别语言：zh
语言置信度：1
分段数：50
生成时间：2026-04-03 20:15:43

[00:00:00 - 00:00:01] 财经大学还有什么专业比较好
[00:00:01 - 00:00:02] 给大家随便举几个例子
[00:00:02 - 00:00:03] 大家注意
[00:00:03 - 00:00:06] 首先财经大学的外国语专业
[00:00:06 - 00:00:07] 它一定是什么
[00:00:07 - 00:00:08] 商务英语
[00:00:08 - 00:00:09] 商务外语方向
[00:00:09 - 00:00:10] 为什么
[00:00:10 - 00:00:11] 因为它是财经大学
[00:00:12 - 00:00:14] 财经大学的法律类专业
[00:00:14 - 00:00:15] 大家也可以重点关注一下
[00:00:15 - 00:00:16] 为什么呢
[00:00:16 - 00:00:18] 因为财经大学的法律类
[00:00:18 - 00:00:18] 大家注意
[00:00:18 - 00:00:20] 它一定是民商法
[00:00:20 - 00:00:20] 经济法
[00:00:20 - 00:00:22] 国际法方向
[00:00:22 - 00:00:23] 而不是刑法
[00:00:23 - 00:00:23] 宪法
[00:00:23 - 00:00:24] 共同法方向
[00:00:24 - 00:00:24] 为什么
[00:00:24 - 00:00:27] 因为它是财经大学
[00:00:27 - 00:00:28] 财经大学还有什么专业值得报
[00:00:28 - 00:00:31] 他的统计学专业
[00:00:31 - 00:00:32] 财经财经设计到
[00:00:32 - 00:00:34] 对吧设计到这个东西对不对
[00:00:34 - 00:00:37] 所以说他这方面一定不差
[00:00:37 - 00:00:39] 另外大家你会发现
[00:00:39 - 00:00:41] 财经大学财经内专业
[00:00:41 - 00:00:43] 那些单位在招聘的时候
[00:00:43 - 00:00:44] 现在都需要什么样的人才
[00:00:44 - 00:00:45] 都需要
[00:00:45 - 00:00:46] 附合型人才
[00:00:46 - 00:00:48] 那么附合型人才的话
[00:00:48 - 00:00:49] 他左跟什么附合
[00:00:49 - 00:00:51] 计算机有关系
[00:00:51 - 00:00:52] 这种需要的计算机专业
[00:00:52 - 00:00:55] 都会将计算机专业和财经内专业
[00:00:55 - 00:00:57] 来进行相结合
[00:00:57 - 00:00:58] 所以说你会发现财经大学
[00:00:58 - 00:01:00] 你除了报金融和会计举办
[00:01:00 - 00:01:03] 其实其他的专业外国语类
[00:01:03 - 00:01:03] 法律类
[00:01:03 - 00:01:05] 我们的统计学类
[00:01:05 - 00:01:06] 我们的计算机类
[00:01:06 - 00:01:08] 其实专业都会有相当的特点
[00:01:08 - 00:01:11] 来 我们财经大学就给大家说到这里
[00:01:11 - 00:01:13] 我们再看外国语大学
[00:01:13 - 00:01:17] 外国语大学除了外国语和小语种专业
[00:01:17 - 00:01:19] 什么样的专业还值得报网
