BV号：BV1yZ4y1z78k
标题：BV1yZ4y1z78k
链接：https://www.bilibili.com/video/BV1yZ4y1z78k
识别语言：zh
语言置信度：1
分段数：69
生成时间：2026-04-03 20:04:50

[00:00:00 - 00:00:02] 什么叫专业?这叫专业
[00:00:02 - 00:00:05] 你找当地的机构报你是不是得考考它呀?
[00:00:05 - 00:00:06] 来,经济学
[00:00:06 - 00:00:08] 我们给大家说过经济学几个一学分
[00:00:08 - 00:00:10] 两个一学分,16个二学分
[00:00:10 - 00:00:13] 16个二学分的话是16个学素式研究生
[00:00:13 - 00:00:15] 分别叫机中学、才能学、国际贸易学
[00:00:15 - 00:00:18] 区域经济、产业经济、罗东经济、国民经济、数量经济、同学、官方经济
[00:00:18 - 00:00:21] 西方经济学、生产经济学、经济学、经济生产、世界经济
[00:00:21 - 00:00:22] 正好中央环境经济学
[00:00:22 - 00:00:24] 6个经济学的应用性研究生
[00:00:24 - 00:00:26] 分别叫做金融设施 保险设施
[00:00:26 - 00:00:27] 事务设施 国际商务设施
[00:00:27 - 00:00:28] 应用统计设施 自然提供设施
[00:00:29 - 00:00:32] 你随便找一个新的一个人来做完业吗
[00:00:32 - 00:00:32] 他懂啊
[00:00:32 - 00:00:34] 经济学考研考什么
[00:00:34 - 00:00:35] 分你考学朔 分你考专朔
[00:00:35 - 00:00:36] 你要考学朔的话
[00:00:36 - 00:00:37] 他一般考四班课程
[00:00:37 - 00:00:38] 政治英语 数学三
[00:00:38 - 00:00:40] 再加上一边西方经济学
[00:00:40 - 00:00:41] 西方经济学一半的高校指令
[00:00:41 - 00:00:42] 高红业的西方经济学
[00:00:42 - 00:00:44] 西方经济学一半的高校指令
[00:00:44 - 00:00:45] 漫困的西方经济学
[00:00:45 - 00:00:45] 对吗
[00:00:45 - 00:00:47] 如果你要考金融專授的話
[00:00:47 - 00:00:48] 正式英語
[00:00:48 - 00:00:48] 第三課
[00:00:48 - 00:00:49] 有的需要考數學
[00:00:49 - 00:00:50] 有的需要不好數學
[00:00:50 - 00:00:51] 它不好數學考
[00:00:51 - 00:00:52] 3.6經濟類總共和聯合考
[00:00:52 - 00:00:54] 3.6經濟類總共的聯合考
[00:00:54 - 00:00:54] 考什麼
[00:00:54 - 00:00:56] 考一部分的大學數學
[00:00:56 - 00:00:56] 考一部分邏輯
[00:00:56 - 00:00:57] 考一部分解讀
[00:00:57 - 00:00:59] 如果說你要考專業數學的話
[00:00:59 - 00:00:59] 是專業數學
[00:00:59 - 00:01:00] 國家統一給大綱
[00:01:00 - 00:01:01] 哪個需要自主命題
[00:01:01 - 00:01:02] 如果你考金融數學的話
[00:01:02 - 00:01:04] 金融數學國家統一給的大綱
[00:01:04 - 00:01:05] 是90分的金融學
[00:01:05 - 00:01:07] 和60分的公司理財
[00:01:07 - 00:01:10] 但是不同學校有自己的命題方式
[00:01:10 - 00:01:10] 如果你要考
[00:01:10 - 00:01:11] 上海參經大學的
[00:01:11 - 00:01:12] 基础专做的话
[00:01:12 - 00:01:14] 他专业课考的是什么
[00:01:14 - 00:01:15] 货币银行学
[00:01:15 - 00:01:16] 风险投资学
[00:01:16 - 00:01:17] 他跟别的小考码是一样的
[00:01:17 - 00:01:18] 所以说我们在跟你
[00:01:18 - 00:01:19] 报志愿的时候的话
[00:01:19 - 00:01:21] 不但要给你考虑到
[00:01:21 - 00:01:22] 你这个专业将来发展怎么样
[00:01:22 - 00:01:24] 我们要考虑到你这个专业
[00:01:24 - 00:01:25] 将来如果你要考研
[00:01:25 - 00:01:27] 如果你要出国
[00:01:27 - 00:01:27] 他最重要的重点
[00:01:27 - 00:01:29] 专业课是什么东西
[00:01:29 - 00:01:31] 这个是我们在
[00:01:31 - 00:01:32] 做志愿体报的时候
[00:01:32 - 00:01:34] 我们给你做的这个东西
[00:01:34 - 00:01:35] 知道吗
[00:01:35 - 00:01:36] 这叫专业
