BV号：BV1wQ4y1q7ow
标题：BV1wQ4y1q7ow
链接：https://www.bilibili.com/video/BV1wQ4y1q7ow
识别语言：zh
语言置信度：1
分段数：33
生成时间：2026-04-03 21:56:50

[00:00:00 - 00:00:03] 所以說女科發展有一些專業怎麼樣
[00:00:03 - 00:00:04] 越老越是香
[00:00:04 - 00:00:05] 而有一些行業
[00:00:05 - 00:00:08] 浩浪一定要把錢浪排死在沙灘上
[00:00:09 - 00:00:11] 那你要報什麼樣的專業呢
[00:00:11 - 00:00:13] 每個專業都有每個專業的兩面性
[00:00:13 - 00:00:15] 你說對不對
[00:00:15 - 00:00:17] 但是我們再看這個專業表
[00:00:17 - 00:00:18] 大家發現同樣
[00:00:18 - 00:00:20] 他能上華健電器的立科分
[00:00:20 - 00:00:23] 他上的是首都醫科大學的什麼專業
[00:00:23 - 00:00:25] 康復
[00:00:25 - 00:00:26] 他上的不是臨床
[00:00:26 - 00:00:28] 大家發現了嗎
[00:00:28 - 00:00:30] 大家知道什麼叫康復吧
[00:00:30 - 00:00:31] 恢復解断
[00:00:31 - 00:00:32] 不是治病解断
[00:00:32 - 00:00:33] 大家能理解吧
[00:00:34 - 00:00:36] 所以说那你要不要伤呢
[00:00:36 - 00:00:38] 这是个问题
[00:00:38 - 00:00:40] 苏大同样来讲各位
[00:00:40 - 00:00:41] 你觉得这个孩子这个分
[00:00:41 - 00:00:43] 他上苏大的5加3一体化
[00:00:43 - 00:00:44] 比较好一些
[00:00:44 - 00:00:47] 还是上首都一个大学的康复比较好一些
[00:00:48 - 00:00:49] 对吗
[00:00:49 - 00:00:50] 但各位在那里你要知道
[00:00:50 - 00:00:53] 两年前有人跟你选的不一样啊
[00:00:54 - 00:00:56] 那他咋就选了那个了呢
[00:00:57 - 00:00:59] 同样的分
[00:00:59 - 00:01:01] 爆了不同的學校,不同的專業
[00:01:01 - 00:01:05] 五年以後有人後悔,有人心血落框
[00:01:06 - 00:01:07] 這就是高考職業
