BV号：BV1sQrUYoEsV
标题：BV1sQrUYoEsV
链接：https://www.bilibili.com/video/BV1sQrUYoEsV
识别语言：zh
语言置信度：1
分段数：35
生成时间：2026-04-03 06:48:24

[00:00:00 - 00:00:03] 你说老师我们今天喜欢小语种将来各种各样的规划有没有影响
[00:00:03 - 00:00:06] 小语种将来发展的时候两个点
[00:00:06 - 00:00:08] 第一个点的话就是在报考的阶段
[00:00:08 - 00:00:10] 就是你如果说学了小语种
[00:00:10 - 00:00:11] 比如像日语 俄语
[00:00:11 - 00:00:12] 你在报考的时候
[00:00:12 - 00:00:14] 对于中外合作办学这一类招生来讲
[00:00:14 - 00:00:17] 你可能就大多数学校是没有机会的
[00:00:17 - 00:00:19] 因为中外合作办学大多数学校是英语教学
[00:00:19 - 00:00:21] 很少是其他语种教学
[00:00:21 - 00:00:23] 除非说你比如说他有的
[00:00:23 - 00:00:25] 比如说我给大家举个简单的例子
[00:00:25 - 00:00:28] 像杭州电的科技大学的计算机和自动化专业
[00:00:28 - 00:00:30] 他的中文合作办学是俄罗斯的学校
[00:00:30 - 00:00:32] 俄罗斯我们有基础是俄罗斯圣光大学
[00:00:32 - 00:00:36] 那么你如果报杭州电子科技大学的中文合作办学
[00:00:36 - 00:00:36] 那是没有问题的
[00:00:36 - 00:00:39] 但是你报其他学校用英语教学的中文合作办学
[00:00:39 - 00:00:39] 你是报不了的
[00:00:39 - 00:00:41] 这是第一对于你报考的影响
[00:00:41 - 00:00:44] 第二你将来在考研的时候
[00:00:44 - 00:00:47] 如果说你在大学期间不转回英语的话
[00:00:47 - 00:00:50] 那么你在考研的时候报考院校会受限
[00:00:50 - 00:00:52] 因为大多数的院校
[00:00:52 - 00:00:53] 我可以这样说
[00:00:53 - 00:00:55] 中国一共是400多个研招单位
[00:00:55 - 00:00:57] 就是可以招研究生的学校
[00:00:57 - 00:01:00] 400多个研究单位,95%以上是只招英语考生的
[00:01:00 - 00:01:03] 也就是说你在考研的时候不换成英语的话
[00:01:03 - 00:01:07] 考研院校选择面,非常非常非常长
[00:01:07 - 00:01:10] 而且招生的院校都是特别牛逼的985
[00:01:10 - 00:01:13] 然后也就是说你考研的话,很有可能
[00:01:13 - 00:01:16] 要么就不考,要考就只能考特别特别好的学校
[00:01:16 - 00:01:17] 那你考研的难度会加大
[00:01:17 - 00:01:20] 这是你换了小鱼龙以后有的两个英文
