BV号：BV1tp4y147bu
标题：BV1tp4y147bu
链接：https://www.bilibili.com/video/BV1tp4y147bu
识别语言：zh
语言置信度：1
分段数：42
生成时间：2026-04-04 00:25:09

[00:00:00 - 00:00:01] 前两年我们家有一个经济
[00:00:01 - 00:00:02] 报支院山西省的
[00:00:02 - 00:00:04] 张老师我们家还在想上新闻传播
[00:00:04 - 00:00:06] 80G到文科那专业
[00:00:06 - 00:00:07] 新闻传播是个很热的专业
[00:00:07 - 00:00:07] 对不对
[00:00:07 - 00:00:09] 他如果要报新闻传播
[00:00:09 - 00:00:11] 他的那个分只能够什么样的学校
[00:00:11 - 00:00:13] 山西省第级式的一个学校
[00:00:13 - 00:00:15] 学习媒体传播
[00:00:15 - 00:00:16] 你传播啥
[00:00:16 - 00:00:17] 你有什么好传播的
[00:00:17 - 00:00:18] 独立啊
[00:00:18 - 00:00:19] 我说要有我的话
[00:00:19 - 00:00:21] 我一定要让你去一个好地方
[00:00:21 - 00:00:23] 以为大家要知道上大学
[00:00:23 - 00:00:23] 除了学职职
[00:00:23 - 00:00:24] 还有一个最重要的任务
[00:00:24 - 00:00:26] 在干嘛叫炸金
[00:00:26 - 00:00:27] 我说你玩儿你的话
[00:00:27 - 00:00:29] 我一定去一个好城市
[00:00:29 - 00:00:31] 哪怕我學的專業不是新聞傳播
[00:00:31 - 00:00:32] 他這樣說那你給我報吧
[00:00:32 - 00:00:33] 最後我給他報學了哪裡
[00:00:33 - 00:00:34] 青島
[00:00:34 - 00:00:35] 青島理工大學
[00:00:35 - 00:00:37] 他學的本科專業
[00:00:37 - 00:00:38] 叫社會工作
[00:00:38 - 00:00:39] 插了線進去的
[00:00:39 - 00:00:42] 我說孩子你只要有新聞傳播的思維
[00:00:42 - 00:00:45] 你上大學的時候參加你們學校的電視台
[00:00:45 - 00:00:45] 廣播電台
[00:00:45 - 00:00:47] 參加你們學校的新媒體學會
[00:00:47 - 00:00:49] 你自己能在抖快必為
[00:00:49 - 00:00:50] 司法平台上
[00:00:50 - 00:00:52] 你運營一個10萬帳號的粉絲
[00:00:52 - 00:00:53] 你不會學新聞傳播的
[00:00:53 - 00:00:54] 也當然要你
[00:00:54 - 00:00:56] 跟你學這個專業沒關係
[00:00:56 - 00:00:58] 你肯抖音快爽那個幫網紅
[00:00:58 - 00:01:00] 從哪個認識這些沒創播的
[00:01:00 - 00:01:00] 沒有
