BV号：BV1WY4y1L7HT
标题：BV1WY4y1L7HT
链接：https://www.bilibili.com/video/BV1WY4y1L7HT
识别语言：zh
语言置信度：1
分段数：29
生成时间：2026-04-03 19:20:15

[00:00:00 - 00:00:02] 大家好我上学习变能共会来的张雪峰老师
[00:00:02 - 00:00:05] 距离高考只剩下最后不到半个月的时间了
[00:00:05 - 00:00:07] 最后的阶段就看谁能坚持到底了
[00:00:07 - 00:00:10] 越是临近高考越要沉下先来
[00:00:10 - 00:00:11] 好好地复习
[00:00:11 - 00:00:13] 这个时候如果还遇到实在不会的体验
[00:00:13 - 00:00:14] 就先别浪费时间了
[00:00:14 - 00:00:15] 先放一放
[00:00:15 - 00:00:17] 把那些你能做对的体
[00:00:17 - 00:00:18] 好好看一看
[00:00:18 - 00:00:20] 争取考试的时候别做错
[00:00:20 - 00:00:23] 同样考试的时候也是遇到不会的体验
[00:00:23 - 00:00:24] 咱们也可以先放一放
[00:00:24 - 00:00:26] 咱先把会做的体验给它做了
[00:00:26 - 00:00:27] 咱把分给拿了
[00:00:27 - 00:00:29] 考试前一天咱们尽量不要熬夜复习
[00:00:29 - 00:00:31] 给自己充足的睡眠时间
[00:00:31 - 00:00:33] 养足精神才能够考出好成绩
[00:00:33 - 00:00:34] 放松心态
[00:00:34 - 00:00:35] 千万不要觉得这次考完了
[00:00:35 - 00:00:37] 你的人生也就定了
[00:00:37 - 00:00:39] 你看我当年不也是没考完清华北大吗
[00:00:39 - 00:00:41] 咱们现在不也混的还不错啊嘛对不对
[00:00:41 - 00:00:43] 考完了呢可以适当放松
[00:00:43 - 00:00:45] 但是别啥都不管了
[00:00:45 - 00:00:47] 因为之后呢还有志愿天报
[00:00:47 - 00:00:48] 最后呢祝愿大家在高考的时候
[00:00:48 - 00:00:50] 一些顺利考出理想的成绩
[00:00:50 - 00:00:51] 加油
