BV号：BV1Re4y177BS
标题：BV1Re4y177BS
链接：https://www.bilibili.com/video/BV1Re4y177BS
识别语言：zh
语言置信度：1
分段数：42
生成时间：2026-04-03 17:10:49

[00:00:00 - 00:00:02] 他世界冬雪上都问不出这个问题你知道吧
[00:00:03 - 00:00:05] 东北人然后你到了西南地区
[00:00:05 - 00:00:06] 或你到了南方
[00:00:06 - 00:00:08] 他冬天的那种肆骨的那种冷
[00:00:08 - 00:00:09] 你是想象不到的
[00:00:09 - 00:00:11] 东北的冷跟南方的冷不一样
[00:00:11 - 00:00:12] 南方这个叫冷
[00:00:12 - 00:00:13] 东北那个不叫冷
[00:00:13 - 00:00:15] 东北叫寒
[00:00:15 - 00:00:16] 他是不一样的
[00:00:16 - 00:00:19] 冷和寒可不是一样的
[00:00:19 - 00:00:20] 南方是真冷
[00:00:20 - 00:00:22] 东北那不叫冷
[00:00:22 - 00:00:23] 那叫寒冷
[00:00:23 - 00:00:24] 他感受是不一样的
[00:00:24 - 00:00:25] 你在东北的话
[00:00:25 - 00:00:27] 最起码我们屋里有暖气
[00:00:27 - 00:00:28] 外边冷怎么了
[00:00:28 - 00:00:29] 经常有人问
[00:00:29 - 00:00:30] 说程导师你们东北人
[00:00:30 - 00:00:31] 那冬天咋过的啊
[00:00:31 - 00:00:32] 进屋啊咋过的
[00:00:32 - 00:00:34] 没二十年冬雪上都问不出这问题
[00:00:34 - 00:00:35] 你知道吧
[00:00:35 - 00:00:36] 那东北零下二度
[00:00:36 - 00:00:37] 穿个傻晚
[00:00:37 - 00:00:38] 我们就在外边待着
[00:00:38 - 00:00:39] 就在外边冻着
[00:00:39 - 00:00:40] 那我们就睡外边啊
[00:00:40 - 00:00:41] 那东北那么冷怎么办
[00:00:41 - 00:00:42] 进屋啊
[00:00:42 - 00:00:43] 南方的不一样
[00:00:43 - 00:00:44] 是屋里比外边还冷
[00:00:44 - 00:00:47] 你要想让一个村里的老头老太太
[00:00:47 - 00:00:48] 人全出来
[00:00:48 - 00:00:50] 最简单的办法就是晴天
[00:00:50 - 00:00:50] 大太阳
[00:00:50 - 00:00:52] 你会发现南方拿老头老太太
[00:00:52 - 00:00:53] 一看有太阳
[00:00:53 - 00:00:54] 全出来了
[00:00:54 - 00:00:55] 赶紧上下太阳
[00:00:55 - 00:00:56] 因为屋里比外边还冷
