BV号：BV1r54y1H7Zk
标题：BV1r54y1H7Zk
链接：https://www.bilibili.com/video/BV1r54y1H7Zk
识别语言：zh
语言置信度：1
分段数：39
生成时间：2026-04-03 23:25:07

[00:00:00 - 00:00:02] 下面一个传播讯
[00:00:02 - 00:00:04] 把一个东西的影响扩大或者缩小
[00:00:04 - 00:00:05] 什么意思啊?
[00:00:05 - 00:00:06] 我
[00:00:06 - 00:00:07] 网红
[00:00:07 - 00:00:09] 这传播讯能明白吗?
[00:00:09 - 00:00:12] 你想我这种人是希望把我影响给扩大的
[00:00:12 - 00:00:13] 但有的人希望把他的影响缩小
[00:00:13 - 00:00:14] 谁啊?
[00:00:14 - 00:00:15] 想想谁啊?
[00:00:15 - 00:00:17] 谁会希望把影响自己缩小啊?
[00:00:17 - 00:00:18] 谁啊?
[00:00:18 - 00:00:20] 啊?谁?
[00:00:20 - 00:00:21] 罗志祥
[00:00:21 - 00:00:22] 罗志祥?
[00:00:22 - 00:00:24] 不
[00:00:24 - 00:00:26] 罗志祥一定想把他的影响放大
[00:00:26 - 00:00:28] 谁希望把他的影响缩小
[00:00:28 - 00:00:31] 每一年中國有一天中國所有企業的老闆
[00:00:31 - 00:00:34] 躲在家裡蹲在馬桶上色色發抖
[00:00:34 - 00:00:35] 那一天叫315
[00:00:36 - 00:00:38] 大家想想315晚會後
[00:00:38 - 00:00:40] 那幫老闆是不是想把影響力給做小
[00:00:40 - 00:00:42] 而且他們是不是做得也還很好啊
[00:00:42 - 00:00:43] 為什麼
[00:00:43 - 00:00:45] 你還記得兩年前315都播過誰嗎
[00:00:45 - 00:00:47] 你早忘了
[00:00:47 - 00:00:48] 對不對
[00:00:48 - 00:00:49] 早被他的廣告淹沒了
[00:00:49 - 00:00:50] 對吧
[00:00:50 - 00:00:52] 明年315你都忘了今年315播了啥了
[00:00:53 - 00:00:53] 這叫什麼
[00:00:53 - 00:00:54] 這叫公關
[00:00:55 - 00:00:56] 他們就叫我們影響力給的做小
[00:00:56 - 00:00:57] 能明白吧
[00:00:57 - 00:00:58] 這叫公關
[00:00:58 - 00:01:01] 大家問問你要想幹這個皇道必須學這個專業嗎
[00:01:02 - 00:01:03] 不一定嗎
[00:01:03 - 00:01:05] 他幾乎沒有專業壁壘大家發現了嗎
