BV号：BV1EYDdYxE9f
标题：BV1EYDdYxE9f
链接：https://www.bilibili.com/video/BV1EYDdYxE9f
识别语言：zh
语言置信度：1
分段数：92
生成时间：2026-04-03 07:42:29

[00:00:00 - 00:00:01] 那包括像新农科
[00:00:01 - 00:00:04] 新农科它其实主要是原来农科就是农科
[00:00:04 - 00:00:06] 比如说我是他们那个叫做武学
[00:00:06 - 00:00:08] 然后的话做武学就是做武学
[00:00:08 - 00:00:10] 比如说像蔬菜学果树学
[00:00:10 - 00:00:12] 然后的话它专门就是这样的转业
[00:00:12 - 00:00:13] 我教你怎么种蔬菜
[00:00:13 - 00:00:13] 教你怎么种果树
[00:00:13 - 00:00:15] 教你怎么种水道
[00:00:15 - 00:00:18] 但是现在因为农业和数字化的一个结合
[00:00:18 - 00:00:20] 我们现在有一个新的话点方向
[00:00:20 - 00:00:21] 叫做数字农业
[00:00:21 - 00:00:22] 叫数字农业
[00:00:22 - 00:00:23] 然后的话呢
[00:00:23 - 00:00:24] 很有可能你要学一些数学
[00:00:24 - 00:00:26] 可能你要学一些算法
[00:00:26 - 00:00:28] 你要学一些数学建模是这样子
[00:00:28 - 00:00:29] 所以说的话就是
[00:00:29 - 00:00:30] 所谓的这个心
[00:00:30 - 00:00:32] 其实心就心在着交叉性
[00:00:32 - 00:00:34] 而不同的专业
[00:00:34 - 00:00:35] 它这种新功科也好
[00:00:35 - 00:00:36] 它的交叉的方向
[00:00:36 - 00:00:37] 它可能就不一样
[00:00:37 - 00:00:39] 但是大多数的行业
[00:00:39 - 00:00:40] 它都是跟什么有关
[00:00:40 - 00:00:42] 都是跟所谓的数据统计
[00:00:42 - 00:00:43] 呃人工智能
[00:00:43 - 00:00:45] 然后的话这个呃大数据
[00:00:45 - 00:00:47] 跟这方面是去结合
[00:00:47 - 00:00:48] 因为我们将来说
[00:00:48 - 00:00:50] 说第四次工业革命的抓手
[00:00:50 - 00:00:50] 是什么
[00:00:50 - 00:00:51] 一个就是大数据
[00:00:51 - 00:00:53] 一个就是人工智能
[00:00:53 - 00:00:54] 大数据和人工智能会改变
[00:00:54 - 00:00:56] 几乎各行各业
[00:00:56 - 00:00:57] 就比如说我给你举个简单的例子
[00:00:57 - 00:00:59] 比如说养植业
[00:00:59 - 00:01:00] 我们可能觉得养植业
[00:01:00 - 00:01:03] 可能跟那个什么的好像不太搭框的
[00:01:03 - 00:01:04] 但实际上养植业
[00:01:04 - 00:01:06] 它也是要进行所谓的
[00:01:06 - 00:01:06] 就是数字化
[00:01:06 - 00:01:07] 信息化
[00:01:07 - 00:01:07] 软件化
[00:01:07 - 00:01:09] 都要进行这些改造的
[00:01:09 - 00:01:09] 比如说我现在
[00:01:09 - 00:01:11] 我就听说现在有的养植场
[00:01:11 - 00:01:12] 它干嘛呢
[00:01:12 - 00:01:13] 就是新出生的那个小牛
[00:01:13 - 00:01:14] 新出生那个小牛
[00:01:14 - 00:01:16] 要在它脖子上装一个传感器
[00:01:16 - 00:01:17] 它装唱感器干嘛呢
[00:01:17 - 00:01:18] 就是它会去看
[00:01:18 - 00:01:21] 这个小牛在0到3个月的时候
[00:01:21 - 00:01:23] 它低头吃多少次草
[00:01:23 - 00:01:25] 来代表这个牛的健康
[00:01:25 - 00:01:26] 会用大数据模型去算一下
[00:01:26 - 00:01:29] 这三个月之内它低头是多少次草
[00:01:29 - 00:01:31] 它大概将来会长到多大
[00:01:31 - 00:01:33] 它大概的产量量水多大
[00:01:33 - 00:01:34] 那我要不要把这个牛
[00:01:34 - 00:01:36] 去往所谓的奶牛方向培养
[00:01:36 - 00:01:37] 还是说培养到一定程度的时候
[00:01:37 - 00:01:39] 直接按肉牛去处理它
[00:01:39 - 00:01:41] 它现在都是用这种方式去在做
[00:01:41 - 00:01:43] 包括说像水壩
[00:01:43 - 00:01:44] 我们叫水力
[00:01:44 - 00:01:45] 我们叫智慧水力
[00:01:45 - 00:01:46] 那智慧水力提前在哪里呢
[00:01:46 - 00:01:48] 就比如说我们现在可能在水下
[00:01:48 - 00:01:49] 装一个这样的传感器
[00:01:49 - 00:01:51] 那么通过水压也好
[00:01:51 - 00:01:52] 或者说是什么样的方式也好
[00:01:52 - 00:01:54] 我们可能人都不用下去
[00:01:54 - 00:01:55] 我就知道这个水壩
[00:01:55 - 00:01:57] 它的成压能力或者说哪儿
[00:01:57 - 00:01:59] 很有可能会成为水坝
[00:01:59 - 00:02:01] 它将来万一出问题的话
[00:02:01 - 00:02:02] 很有可能哪个地方是有问题的
[00:02:02 - 00:02:05] 那么可能就是它会有各种各样的数据
[00:02:05 - 00:02:08] 那么其中某一个数据达到某一个指标的时候
[00:02:08 - 00:02:10] 我就必须得去修这个水坝了
[00:02:10 - 00:02:11] 所以说它就已经不用人去下去
[00:02:11 - 00:02:13] 全是用传感器这个方面去往上做
[00:02:13 - 00:02:15] 所以说这个东西就要多智慧水利
[00:02:15 - 00:02:19] 就是我们所谓的这样智能建造智能水利
[00:02:19 - 00:02:21] 然后的话所有的东西都在家智能
[00:02:21 - 00:02:25] 都是往所谓的人工智能和大数据的方向在靠
[00:02:25 - 00:02:28] 所以说他心就心在了他跟大数据和人工智能的结合
[00:02:28 - 00:02:30] 几乎所有转业都是这样
