BV号：BV1JY411G7XG
标题：BV1JY411G7XG
链接：https://www.bilibili.com/video/BV1JY411G7XG
识别语言：zh
语言置信度：1
分段数：47
生成时间：2026-04-03 20:23:44

[00:00:00 - 00:00:02] 你們知道說畫工程開始了嗎?
[00:00:02 - 00:00:04] 學畫工程拿的
[00:00:04 - 00:00:06] 學畫工程拿的
[00:00:06 - 00:00:08] 早上吃飯了嗎?各位早上吃飯了嗎?
[00:00:08 - 00:00:10] 如果你早上吃飯的話
[00:00:10 - 00:00:12] 恭喜你剛剛吃過畫工程
[00:00:12 - 00:00:14] 因為你在吃飯的過程中
[00:00:14 - 00:00:17] 我們一定添加了某種食品的壓力
[00:00:17 - 00:00:19] 比如說你舉個最簡單的例子
[00:00:19 - 00:00:21] 各位同學你上高中華學都學過
[00:00:21 - 00:00:23] 未經未經的化學名稱
[00:00:23 - 00:00:24] 叫什麼?
[00:00:24 - 00:00:26] 是不是叫不滿分的啊?
[00:00:26 - 00:00:27] 那就是畫工產品啊
[00:00:27 - 00:00:29] 對吧?
[00:00:29 - 00:00:30] 你说你今天来的时候你开车了吗
[00:00:30 - 00:00:31] 如果你开车了的话
[00:00:31 - 00:00:33] 也一定是用到化工产品啊
[00:00:34 - 00:00:34] 叫什么
[00:00:34 - 00:00:36] 叫汽油
[00:00:36 - 00:00:37] 叫石油化工啊
[00:00:37 - 00:00:38] 各位女性家长
[00:00:38 - 00:00:41] 今天早上你起来以后抹香香的吗
[00:00:42 - 00:00:45] 用抹的那个香香它也一定是化工产品啊
[00:00:45 - 00:00:46] 你凭是那洗面材
[00:00:46 - 00:00:47] 那个洗发水
[00:00:47 - 00:00:49] 用抹的那个化妆品
[00:00:49 - 00:00:50] 那都是化工产品
[00:00:50 - 00:00:51] 那就日用化工了
[00:00:52 - 00:00:53] 如果说你身体不是很舒服的话
[00:00:53 - 00:00:54] 你就吃药
[00:00:54 - 00:00:55] 各位家长 各位讨厌
[00:00:55 - 00:00:56] 你凭是吃药的时候
[00:00:56 - 00:00:57] 你有没有看过那个药品书没出
[00:00:57 - 00:00:59] 那個要比什麼時候還會高空
[00:00:59 - 00:01:01] 你說你吃的這個藥的有效成分是啥
[00:01:01 - 00:01:03] 比如說你吃一片非常簡單的RFP
[00:01:03 - 00:01:05] RFP的那些有效成分是什麼叫做
[00:01:05 - 00:01:06] 以前水養村
[00:01:06 - 00:01:07] 這也是畫工產品啊
[00:01:07 - 00:01:08] 你看
[00:01:08 - 00:01:09] 你需要畫工專業以後
[00:01:09 - 00:01:11] 你將來可能去做市民
[00:01:11 - 00:01:13] 你將來有可能去做畫工品
[00:01:13 - 00:01:14] 你將來有可能去做石化
[00:01:14 - 00:01:16] 你將來有可能去做藥
[00:01:16 - 00:01:17] 你要做美容的
