BV号：BV19r4y1B7pV
标题：BV19r4y1B7pV
链接：https://www.bilibili.com/video/BV19r4y1B7pV
识别语言：zh
语言置信度：1
分段数：45
生成时间：2026-04-03 20:07:37

[00:00:00 - 00:00:02] 我这么跟你说,数学这个专业真的很好
[00:00:02 - 00:00:05] 为什么呢?因为数学这个专业竞可功退科手
[00:00:05 - 00:00:07] 咱这么说啊,什么叫退科手?
[00:00:07 - 00:00:09] 首先,数学你将来可以去当老师
[00:00:09 - 00:00:10] 你可以考数学的教授资格证
[00:00:10 - 00:00:12] 可以报一些示范类的院校
[00:00:12 - 00:00:13] 如果说咱们孩子觉得说
[00:00:13 - 00:00:16] 哎呀,我将来在社会上打拼比较累
[00:00:16 - 00:00:18] 我想去当老师,这个专业才能当老师
[00:00:18 - 00:00:20] 那什么叫竞可功呢?
[00:00:20 - 00:00:21] 一,你考数学的研究生
[00:00:21 - 00:00:23] 将来毕业以后可以进银行
[00:00:23 - 00:00:26] 证券公司去帮他们做数学建模
[00:00:26 - 00:00:29] 然后的话,数学里边有一个专业叫做统计学
[00:00:29 - 00:00:34] 然后的话很多比较好的学校都是统计局的合作单位
[00:00:34 - 00:00:35] 然后的话其次的话
[00:00:35 - 00:00:38] 如果你将来想转专业转到其他专业
[00:00:38 - 00:00:40] 尤其是转到计算机专业
[00:00:40 - 00:00:43] 数学是相对比较容易转到计算机专业的
[00:00:43 - 00:00:47] 所以说这一大类专业真的还不错
[00:00:47 - 00:00:49] 那你需要注意的是什么呢
[00:00:49 - 00:00:51] 你需要注意的是你在报支院的时候
[00:00:51 - 00:00:54] 你要看清楚你们家孩子的位次
[00:00:54 - 00:00:58] 构哪个学校数学这个专业的位次
[00:00:58 - 00:00:59] 因为你正常来讲
[00:00:59 - 00:01:00] 你们高二
[00:01:00 - 00:01:02] 数学这个专业应该是放到
[00:01:02 - 00:01:03] 必物不限肯
[00:01:03 - 00:01:04] 因为你们江苏省是
[00:01:04 - 00:01:05] 越校专业组
[00:01:05 - 00:01:07] 数学是你们这一届
[00:01:07 - 00:01:09] 是必物不限肯
[00:01:09 - 00:01:10] 那你就要看
[00:01:10 - 00:01:11] 你不能说
[00:01:11 - 00:01:11] 老师
[00:01:11 - 00:01:13] 这个学校必物不限肯的位次
[00:01:13 - 00:01:14] 我们家孩子正好够
[00:01:14 - 00:01:16] 那你可能够不上数学专业
[00:01:16 - 00:01:18] 你需要注意的是
[00:01:18 - 00:01:19] 你拿你们家孩子的位次
[00:01:19 - 00:01:22] 跟这个学校这个专业组的数学位次
[00:01:22 - 00:01:23] 进行比对
[00:01:23 - 00:01:25] 而不是拿这个专业组的最低位次
[00:01:25 - 00:01:26] 进行比对
[00:01:26 - 00:01:27] 你听明白我的话了吗
