BV号：BV1Hq421c7vk
标题：BV1Hq421c7vk
链接：https://www.bilibili.com/video/BV1Hq421c7vk
识别语言：zh
语言置信度：1
分段数：74
生成时间：2026-04-03 11:32:24

[00:00:00 - 00:00:02] 我们每一颗真题大家一定要记住啊
[00:00:02 - 00:00:04] 它的最重要的作用是什么
[00:00:04 - 00:00:06] 它不是让你去找节奏的
[00:00:06 - 00:00:07] 我经常给大家讲
[00:00:07 - 00:00:09] 我说你去现代海的模拟考试
[00:00:09 - 00:00:10] 模拟考试的作用是什么
[00:00:10 - 00:00:11] 记住模拟考试的作用是两点
[00:00:12 - 00:00:13] 第一点叫什么
[00:00:13 - 00:00:16] 来大家把模拟考试的作用打在公平上
[00:00:16 - 00:00:17] 第一叫做找节奏
[00:00:19 - 00:00:20] 你的考试时间该如何分配
[00:00:21 - 00:00:22] 你遇到难题时间该如何分配
[00:00:22 - 00:00:24] 一个简单题时间该如何分配
[00:00:24 - 00:00:26] 叫做找节奏
[00:00:26 - 00:00:28] 这是我们模拟考试的第一个作用
[00:00:28 - 00:00:29] 模拟考试的第二个作用叫什么
[00:00:29 - 00:00:31] 叫做找弱点
[00:00:32 - 00:00:33] 你通过模拟考试
[00:00:33 - 00:00:36] 你发现哪个知识点是你相对比较薄弱的点
[00:00:36 - 00:00:39] 那你就要去把这种弱点给它找出来
[00:00:39 - 00:00:42] 你剩下的时间越来越少
[00:00:42 - 00:00:45] 你就应该越来越强化你的这个弱点
[00:00:46 - 00:00:48] 所以说那这个真体干嘛用的呢
[00:00:48 - 00:00:49] 这个真体的作用
[00:00:49 - 00:00:50] 它不是帮你找节奏的
[00:00:50 - 00:00:52] 它是帮你找弱点的
[00:00:52 - 00:00:54] 它是让你看一看
[00:00:54 - 00:00:56] 这个知识点
[00:00:56 - 00:00:58] 别的声是怎么考的
[00:00:58 - 00:01:00] 因为老师在出真题的时候
[00:01:00 - 00:01:03] 他很有可能会参照别的省的考法
[00:01:04 - 00:01:07] 所以说他很有可能会觉得
[00:01:07 - 00:01:08] 这个省的考法不错
[00:01:08 - 00:01:10] 这个省考的点考的角度不错
[00:01:10 - 00:01:11] 我换一个点
[00:01:12 - 00:01:12] 我去考他
[00:01:12 - 00:01:13] 大家能理解吗
[00:01:13 - 00:01:14] 理解的话
[00:01:14 - 00:01:14] 勾理解
[00:01:15 - 00:01:16] 同样一个知识点
[00:01:16 - 00:01:18] 别的省是怎么考的
[00:01:18 - 00:01:19] 我给大家随便举个例子
[00:01:19 - 00:01:20] 比如说立体几何
[00:01:21 - 00:01:22] 哪个省都学
[00:01:22 - 00:01:23] 哪个省也都考
[00:01:23 - 00:01:25] 那立体几何
[00:01:25 - 00:01:27] 我要出移到我们省的真题
[00:01:27 - 00:01:30] 那我要不要看看立即几何这个知识点
[00:01:30 - 00:01:32] 别的省是怎么考的
[00:01:32 - 00:01:35] 数列别的省是怎么考的
[00:01:35 - 00:01:37] 它考的点是什么
[00:01:37 - 00:01:41] 因为这是真真正正出题者的思维
[00:01:41 - 00:01:45] 而不是模拟老师我自己憋一道题
[00:01:45 - 00:01:48] 我猜出题老师会怎么输
[00:01:48 - 00:01:50] 这就是模拟卷的思维
[00:01:50 - 00:01:52] 模拟卷压几卷
[00:01:52 - 00:01:54] 很多家园的学生
[00:01:54 - 00:01:55] 我在那边买了压几卷
[00:01:55 - 00:01:58] 压题卷压的原则是什么
[00:01:58 - 00:02:01] 压题卷压的基础是什么
[00:02:01 - 00:02:04] 一定是往年真题
[00:02:04 - 00:02:05] 来我们直播间当老师的朋友
[00:02:05 - 00:02:07] 你可以告诉我们直播间的其他监察
[00:02:07 - 00:02:07] 对不对
[00:02:09 - 00:02:13] 压题卷的初提思维一定是往年真题
[00:02:14 - 00:02:16] 初提老师
[00:02:16 - 00:02:18] 他也一定会参照别的手
[00:02:18 - 00:02:20] 这个知识点是怎么出的
[00:02:20 - 00:02:21] 一定会
[00:02:21 - 00:02:22] 所以说你说老师
[00:02:22 - 00:02:23] 我在这个知识点博弱
[00:02:23 - 00:02:25] 我练什么题是最好的
[00:02:25 - 00:02:26] 肯定是真体
[00:02:26 - 00:02:27] 你想都不用想
