BV号：BV16V411m7j4
标题：BV16V411m7j4
链接：https://www.bilibili.com/video/BV16V411m7j4
识别语言：zh
语言置信度：1
分段数：185
生成时间：2026-04-04 01:28:35

[00:00:00 - 00:00:01] 大家好
[00:00:01 - 00:00:03] 你猜我是谁
[00:00:03 - 00:00:05] 我是张雪丰老师呀
[00:00:05 - 00:00:08] 大家都知道我上个月的时候做了一个无比惊人
[00:00:08 - 00:00:11] 却又让我十分互惠的决定
[00:00:11 - 00:00:12] 就是这个月
[00:00:12 - 00:00:13] 我要跑一个马拉松
[00:00:13 - 00:00:16] 天呐我到底能不能跑下来呀
[00:00:16 - 00:00:19] 但是成绩好不好咱先不说
[00:00:19 - 00:00:21] 成绩好不好咱们也无所谓
[00:00:21 - 00:00:23] 但是装备一定要到位
[00:00:23 - 00:00:25] 今天我要给大家看一下
[00:00:25 - 00:00:28] 我为这次马拉松准备了什么样的装备
[00:00:28 - 00:00:30] 首先那么上身穿什么呢
[00:00:30 - 00:00:34] 要给大家介绍的就是这一款无锈的跑步衫
[00:00:34 - 00:00:37] 实际上我们在跑步的时候会有很多很多
[00:00:37 - 00:00:38] 我就是穿衣服嘛对不对
[00:00:38 - 00:00:39] 你别露肉就好了嘛对吧
[00:00:39 - 00:00:40] 你看这个对吧
[00:00:40 - 00:00:43] 我的米兰啊这个也可以穿
[00:00:43 - 00:00:45] 但是呢这个从一散热性的角度来讲
[00:00:45 - 00:00:46] 没有那么好
[00:00:46 - 00:00:48] 而这个无锈的跑步衫呢
[00:00:48 - 00:00:49] 大家都知道散热啊
[00:00:49 - 00:00:51] 散热懂吗
[00:00:51 - 00:00:52] 就是这样散热的
[00:00:52 - 00:00:54] 下半身就非常的重要了
[00:00:54 - 00:00:56] 就是要穿一个短裤
[00:00:56 - 00:00:57] 但是这个短裤呢
[00:00:57 - 00:01:00] 大家知道穿的好穿不好的话是很不一样的
[00:01:00 - 00:01:02] 如果说这个短裤穿不好的话
[00:01:02 - 00:01:04] 就容易磨当
[00:01:04 - 00:01:05] 就是
[00:01:05 - 00:01:07] 磨当就很疼
[00:01:07 - 00:01:08] 而且还容易出息
[00:01:08 - 00:01:10] 大家如果不相信的话
[00:01:10 - 00:01:11] 请看图片
[00:01:11 - 00:01:17] 所以说在跑马拉松的时候
[00:01:17 - 00:01:18] 我们经常在网上就有人说
[00:01:18 - 00:01:20] 说跑马拉松到底要不要穿内裤
[00:01:20 - 00:01:22] 有的人选择是不穿内裤
[00:01:22 - 00:01:23] 但是我觉得
[00:01:23 - 00:01:24] 如果不穿内裤的话
[00:01:24 - 00:01:25] 就是
[00:01:25 - 00:01:28] 就是
[00:01:28 - 00:01:30] 还是穿得比较好一些
[00:01:30 - 00:01:31] 能不能兜得住
[00:01:31 - 00:01:32] 所以我这条短裤呢
[00:01:32 - 00:01:33] 它是有趁理的
[00:01:33 - 00:01:34] 它不会磨当
[00:01:34 - 00:01:35] 我是穿过的
[00:01:35 - 00:01:35] 非常的舒服
[00:01:35 - 00:01:37] 下面有给大家介绍一个主角
[00:01:37 - 00:01:38] 就是这个
[00:01:38 - 00:01:39] 无顶的帽子
[00:01:39 - 00:01:41] 我之前在看马拉松比赛的时候呢
[00:01:41 - 00:01:42] 我就发现那些运动员啊
[00:01:42 - 00:01:42] 在跑步的时候
[00:01:42 - 00:01:44] 都要带一个这样的帽子
[00:01:44 - 00:01:44] 我就想
[00:01:44 - 00:01:45] 哎
[00:01:45 - 00:01:46] 有那么热吗
[00:01:46 - 00:01:47] 有的说法上没有它呀
[00:01:47 - 00:01:48] 但是这帽子运动员
[00:01:48 - 00:01:50] 他也带一个帽子
[00:01:50 - 00:01:51] 等我后来跑到马拉松啊
[00:01:51 - 00:01:52] 我才知道带这个
[00:01:52 - 00:01:53] 无顶的帽子最重要的动作
[00:01:53 - 00:01:54] 其实不是这样
[00:01:54 - 00:01:56] 而是导汉
[00:01:56 - 00:01:58] 就是你戴上这个帽子以后呢
[00:01:58 - 00:01:58] 哎
[00:01:58 - 00:01:59] 你出汗的时候
[00:01:59 - 00:02:02] 它这个汗就会集中吸收到这个帽园上
[00:02:02 - 00:02:04] 就会集中吸收到帽园上
[00:02:04 - 00:02:07] 这样的话你就不会有汗留在眼睛里边
[00:02:07 - 00:02:08] 真的你跑步的时候
[00:02:08 - 00:02:09] 如果你眼睛里边有汗
[00:02:09 - 00:02:11] 是非常非常非常难受的
[00:02:11 - 00:02:13] 而且这个帽子还有两个用途
[00:02:13 - 00:02:14] 第一它可以遮阳
[00:02:14 - 00:02:15] 但如果说你觉得
[00:02:15 - 00:02:16] 哎呀 外面没有那么大的太阳
[00:02:16 - 00:02:18] 我用不着这样的功能怎么办
[00:02:18 - 00:02:20] 这个帽园还可以往上翻
[00:02:20 - 00:02:22] 哎 你觉得是这样好看的
[00:02:22 - 00:02:22] 还是这样好看的
[00:02:22 - 00:02:24] 而我选择的这个帽子
[00:02:24 - 00:02:25] 还有一个很有意思的功能
[00:02:25 - 00:02:28] 就是它可以随意的折抵
[00:02:28 - 00:02:30] 然后呢你揣到兜里边就可以了
[00:02:30 - 00:02:32] 它不像说有的帽子
[00:02:32 - 00:02:33] 你根本就没发这么遮叠
[00:02:33 - 00:02:34] 你说你扔了吧
[00:02:34 - 00:02:35] 它却是你的帽子
[00:02:35 - 00:02:36] 对吧
[00:02:36 - 00:02:36] 你不扔吧
[00:02:36 - 00:02:37] 它确实有的时候
[00:02:37 - 00:02:39] 带着也很难受或是怎么样的
[00:02:39 - 00:02:40] 咱们这个帽子呢
[00:02:40 - 00:02:41] 可以随意揉练它
[00:02:41 - 00:02:43] 咱们揉练都可以
[00:02:43 - 00:02:44] 下面呢我们要说说
[00:02:44 - 00:02:46] 刚才我带的这个眼镜了
[00:02:46 - 00:02:48] 这个眼镜是专业的运动墨镜
[00:02:48 - 00:02:50] 你带上它以后的话呢
[00:02:50 - 00:02:50] 运动墨镜嘛
[00:02:50 - 00:02:51] 它就是
[00:02:51 - 00:02:52] 你随便甩
[00:02:52 - 00:02:54] 随便甩都没有问题
[00:02:54 - 00:02:54] 你看
[00:02:54 - 00:02:59] 哎呦
[00:02:59 - 00:03:00] 他也会掉啊
[00:03:00 - 00:03:05] 总之你要不要像我刚才甩的那么浮动那么大
[00:03:05 - 00:03:06] 他是不会掉的
[00:03:06 - 00:03:07] 介绍完身上穿的
[00:03:07 - 00:03:09] 我们再看看我们脚底下的装备
[00:03:09 - 00:03:11] 首先一双袜子
[00:03:11 - 00:03:12] 大家看到了吗
[00:03:12 - 00:03:15] 这个袜子首先你不要穿那种所谓的真丝袜子
[00:03:15 - 00:03:18] 真丝袜子相对比较花
[00:03:18 - 00:03:20] 另外我们在穿袜子的时候一定要注意
[00:03:20 - 00:03:22] 不要穿新袜子
[00:03:22 - 00:03:24] 一定要穿我们之前穿过的袜子
[00:03:24 - 00:03:26] 要不然的话会相对磨角
[00:03:26 - 00:03:27] 你看我这个袜子一看就是
[00:03:28 - 00:03:29] 穿过了袜子
[00:03:29 - 00:03:30] 最后的重头新呢
[00:03:30 - 00:03:33] 就给大家介绍一下我的这双跑鞋了
[00:03:33 - 00:03:34] 这双鞋就是被无数的跑马者
[00:03:34 - 00:03:37] 预为神鞋的耐克的Nexter Prostant
[00:03:37 - 00:03:39] 这双鞋最大的特点是什么呢
