BV号：BV1Mn4y1d7ty
标题：BV1Mn4y1d7ty
链接：https://www.bilibili.com/video/BV1Mn4y1d7ty
识别语言：zh
语言置信度：1
分段数：81
生成时间：2026-04-03 10:33:11

[00:00:00 - 00:00:02] 咱老说选学校也是选城市
[00:00:02 - 00:00:06] 因为地域城市这些因素对咱们以后的发展
[00:00:06 - 00:00:07] 也是很有影响的
[00:00:07 - 00:00:09] 就比方说浙江河
[00:00:09 - 00:00:11] 沿海经济发达环境的也一举
[00:00:11 - 00:00:14] 除了大家都知道杭州这一块
[00:00:14 - 00:00:16] 寿星也是一个很不错的地方
[00:00:16 - 00:00:17] 说起这儿
[00:00:17 - 00:00:18] 你想到了谁
[00:00:18 - 00:00:19] 鲁迅是吧
[00:00:19 - 00:00:20] 但你可能不知道
[00:00:20 - 00:00:21] 在这儿呢
[00:00:21 - 00:00:23] 还有一所鲁迅当过校长的学校
[00:00:23 - 00:00:25] 他就是咱们今天要讲的
[00:00:25 - 00:00:26] 寿星文理学院
[00:00:26 - 00:00:28] 在文理两个字的学校不少
[00:00:28 - 00:00:30] 但是邵星文理呢
[00:00:30 - 00:00:32] 绝对是最牛的极所之一
[00:00:32 - 00:00:36] 就拿所有学校都非常重视的ESI学科来说啊
[00:00:36 - 00:00:38] 邵星文理的工程学化学
[00:00:38 - 00:00:41] 环境科学生态学计算级科学呢
[00:00:41 - 00:00:43] 全部进入到了全球的前百分之一
[00:00:43 - 00:00:46] 是所有文理学院当中最多的
[00:00:46 - 00:00:47] 再说专业啊
[00:00:47 - 00:00:50] 邵星文理有差不多60个本科专业
[00:00:50 - 00:00:52] 其中四个国家级一流专业
[00:00:52 - 00:00:54] 三个国家级特色专业
[00:00:54 - 00:00:57] 12个省级一流专业建设点
[00:00:57 - 00:00:59] 23个省级重点专业
[00:00:59 - 00:01:01] 以机器而电子信息
[00:01:01 - 00:01:03] 光电信息为电子为代表的计算机类
[00:01:03 - 00:01:06] 机械类 自动化类 生物医药类
[00:01:06 - 00:01:09] 化工材料类等等这些火爆的理工科专业
[00:01:09 - 00:01:13] 面向的也都是寿星本地的重点布局的新兴产业
[00:01:13 - 00:01:17] 另外呢 师范 法学 金管这些偏文科的
[00:01:17 - 00:01:20] 以及书法这种艺术类的专业也都不错
[00:01:20 - 00:01:22] 蓝庭旭大家都听说过吧
[00:01:22 - 00:01:24] 这一所学校的书法学院
[00:01:24 - 00:01:27] 就建在书法圣地蓝亭边上
[00:01:27 - 00:01:29] 实力也是嘎嘎的强
[00:01:29 - 00:01:31] 另外很多学校想要
[00:01:31 - 00:01:33] 但是没有的医学类专业
[00:01:33 - 00:01:36] 烧星文理直接拿下了好几个医留专业
[00:01:36 - 00:01:38] 而且它有17个硕士点
[00:01:38 - 00:01:41] 覆盖了全校90%以上的本科专业
[00:01:41 - 00:01:43] 这两年还成立了博士学位
[00:01:43 - 00:01:45] 授予立项建设单位
[00:01:45 - 00:01:47] 半学实力这一块绝对是没话说
[00:01:47 - 00:01:50] 在这我想强调一下它的师范专业
[00:01:50 - 00:01:53] 如果说毕业后想找一个稳定的工作
[00:01:53 - 00:01:55] 那我真的建议大家多看看这个学校
[00:01:55 - 00:01:59] 石饭的专业毕业生有六成拿到公办救师编
[00:01:59 - 00:02:02] 入别率最高的主要也能达到90%
[00:02:02 - 00:02:04] 尤其还有个阻南班
[00:02:04 - 00:02:07] 在浙江省的教育部门是非常受认可的
[00:02:07 - 00:02:09] 有些地方招救师事业毕业
[00:02:09 - 00:02:13] 直接就规定阻南班毕业的可以免鄙视
[00:02:13 - 00:02:16] 就张老师知道的这个班办了有十几年了
[00:02:16 - 00:02:18] 所有学生全部入边
[00:02:18 - 00:02:21] 以前的这个班得到了大三筛选后才能进
[00:02:21 - 00:02:23] 这几年要求也放宽了
[00:02:23 - 00:02:25] 可以直接高考入去
[00:02:25 - 00:02:27] 咱们分构的同学大胆暴
[00:02:27 - 00:02:29] 有同学可能担心上不了这种拔肩班
[00:02:29 - 00:02:32] 但学校其他普通班学风也非常好
[00:02:32 - 00:02:33] 就业也不差
[00:02:33 - 00:02:35] 就拿2023届毕业生来说
[00:02:35 - 00:02:39] 学一的职业一师通过率有95.4%
[00:02:39 - 00:02:42] 学户理 户理资格考试通过率100%
[00:02:42 - 00:02:45] 学法 司法考试通过率75%
[00:02:45 - 00:02:49] 学师犯的教师资格通过率有88.76%
[00:02:49 - 00:02:52] 随便拉出来一个的都是王杖
[00:02:52 - 00:02:53] 不管你是考功考编
[00:02:53 - 00:02:55] 还是近世界500强
[00:02:55 - 00:02:55] 大型国企
[00:02:55 - 00:02:56] 事业单位
[00:02:56 - 00:02:57] 机会都很大
[00:02:57 - 00:02:59] 就业率能达到95%以上
[00:02:59 - 00:03:01] 考验上岸的也越来越多
[00:03:01 - 00:03:04] 同学们要是还没有想好抱哪儿
[00:03:04 - 00:03:06] 少兴文理学院就非常值得关注一下
