BV号：BV1xZrKBAEnu
标题：BV1xZrKBAEnu
链接：https://www.bilibili.com/video/BV1xZrKBAEnu
识别语言：zh
语言置信度：1
分段数：86
生成时间：2026-04-03 00:42:37

[00:00:00 - 00:00:02] 小鱼种这种东西
[00:00:02 - 00:00:03] 大家在学的时候
[00:00:03 - 00:00:05] 一定要单一地学小鱼种本身
[00:00:05 - 00:00:08] 你一定要跟其他专业国教啥融合
[00:00:08 - 00:00:10] 否则你小鱼种单独去就业
[00:00:10 - 00:00:11] 其实不得了
[00:00:11 - 00:00:13] 现在一般小鱼种它就业是怎么做的
[00:00:13 - 00:00:15] 就是现在小鱼种什么比较好就业
[00:00:15 - 00:00:16] 一个是西班牙语
[00:00:16 - 00:00:18] 西班牙语还不错
[00:00:18 - 00:00:19] 为什么西班牙语还不错
[00:00:19 - 00:00:19] 它几个特点
[00:00:19 - 00:00:22] 第一就是我们中国除海策略
[00:00:22 - 00:00:25] 去的西班牙语国家还是比较多的
[00:00:25 - 00:00:25] 主要是什么呢
[00:00:25 - 00:00:26] 拉美地区
[00:00:26 - 00:00:28] 主要是拉美地区
[00:00:28 - 00:00:29] 比如说墨西哥
[00:00:30 - 00:00:33] 拉美地区拉美地区一般都说西班牙里
[00:00:33 - 00:00:36] 然后西班牙语国家的人英语一般都不咋理
[00:00:36 - 00:00:38] 所以说相当于你有你学了
[00:00:38 - 00:00:41] 一外是西班牙语二外是英语
[00:00:41 - 00:00:42] 然后的话你再加上中文
[00:00:42 - 00:00:44] 因为中资企业出海
[00:00:44 - 00:00:48] 你是学小语种伴随的中资企业出海的节奏去走的
[00:00:48 - 00:00:50] 他去印尼中资企业大多数去印尼
[00:00:50 - 00:00:52] 那你学印尼语就有优势
[00:00:52 - 00:00:53] 中资企业去越南
[00:00:53 - 00:00:55] 那你学越南语就有优势
[00:00:55 - 00:00:56] 中资企业去泰国
[00:00:56 - 00:00:58] 那你学泰语就有优势
[00:00:58 - 00:00:59] 所以说两个方向一个是西班牙语
[00:00:59 - 00:01:01] 一个是所谓的东南亚语言
[00:01:01 - 00:01:07] 因为这个是伴随着中国企业出海的特律去走的
[00:01:07 - 00:01:07] 这是这样
[00:01:07 - 00:01:09] 然后要么就是微语种
[00:01:09 - 00:01:09] 微语种的话
[00:01:09 - 00:01:11] 比如像什么你学一些什么
[00:01:11 - 00:01:13] 就是微是微小的微
[00:01:13 - 00:01:15] 不是危险的微是微小的微微语种
[00:01:15 - 00:01:16] 然后呢
[00:01:16 - 00:01:17] 你去学一些什么
[00:01:17 - 00:01:19] 比如说像这个什么塞尔维亚语
[00:01:19 - 00:01:19] 对吧
[00:01:19 - 00:01:22] 这专门是为塞尔维亚外交做贡献的
[00:01:22 - 00:01:24] 然后的话什么什么什么各种各样的语什么
[00:01:24 - 00:01:25] 马尔代夫语
[00:01:25 - 00:01:25] 对吧
[00:01:25 - 00:01:27] 这种专业只有北外代有
[00:01:27 - 00:01:28] 别的学校都没有
[00:01:28 - 00:01:30] 他就能做外交的
[00:01:30 - 00:01:31] 他就是做外交的
[00:01:31 - 00:01:35] 然后你学一些所谓的非
[00:01:35 - 00:01:36] 这个这种
[00:01:36 - 00:01:39] 这种中国出海策略的鱼种
[00:01:39 - 00:01:40] 和非微鱼种
[00:01:40 - 00:01:41] 其他的鱼种将来就业
[00:01:41 - 00:01:45] 都是不是那么特别
[00:01:45 - 00:01:46] 那什么的
[00:01:46 - 00:01:47] 就是因为原来外语
[00:01:47 - 00:01:48] 它有个什么样的功能的
[00:01:48 - 00:01:50] 它跟二三十年前不一样
[00:01:50 - 00:01:52] 二三十年前它有招商的功能
[00:01:52 - 00:01:53] 因为我们那时候全国各地招商
[00:01:53 - 00:01:55] 尤其像苏州上的城市招商
[00:01:55 - 00:01:57] 它招的都是一些发达国家
[00:01:57 - 00:02:00] 他招商需要有一些外语能力特别强的人去跟人家调谈
[00:02:01 - 00:02:02] 然后的话再有就是企业管理
[00:02:02 - 00:02:05] 因为有可能很多外资企业在中国社场
[00:02:05 - 00:02:07] 但是现在大家你会发现
[00:02:07 - 00:02:08] 不是说外的企业不愿意在中国投资的
[00:02:08 - 00:02:12] 而是说我们中国的能力越来越强了
[00:02:13 - 00:02:15] 然后的话我们现在在海外社场
[00:02:15 - 00:02:17] 我们一方面从外边来吸引过来
[00:02:17 - 00:02:19] 一方面我们自己可能也要出去
[00:02:19 - 00:02:21] 所以说的话这个外语这个东西
[00:02:21 - 00:02:23] 大家尽量不是说不能学
[00:02:23 - 00:02:24] 不是说这个专业不好
[00:02:24 - 00:02:26] 而说你自己在选择的时候
[00:02:26 - 00:02:27] 你的就业方向是什么
[00:02:27 - 00:02:29] 不要想着出去当翻译
[00:02:29 - 00:02:29] 知道吧
[00:02:29 - 00:02:31] 不要想着出去当翻译
[00:02:31 - 00:02:32] 因为现在这个东西
[00:02:32 - 00:02:34] 人工就已经可替代的东西太多了
[00:02:34 - 00:02:35] 好吧
