BV号：BV1da411Q7dX
标题：BV1da411Q7dX
链接：https://www.bilibili.com/video/BV1da411Q7dX
识别语言：zh
语言置信度：1
分段数：52
生成时间：2026-04-03 18:20:14

[00:00:00 - 00:00:03] 你不要只寄谁吃肉不寄谁挨打呀
[00:00:03 - 00:00:06] 有的人报考逻辑特别混乱
[00:00:07 - 00:00:08] 报支院了
[00:00:08 - 00:00:12] 好假我七大姑八大姨全出来了
[00:00:12 - 00:00:13] 爸爸说
[00:00:13 - 00:00:15] 应该这么报地狱最重要
[00:00:15 - 00:00:16] 妈妈说
[00:00:16 - 00:00:18] 应该这么报专业最重要
[00:00:18 - 00:00:19] 孩子说
[00:00:19 - 00:00:21] 嗯我要去哪儿的城市
[00:00:22 - 00:00:23] 到专业这一块
[00:00:23 - 00:00:25] 二姨说计算机好
[00:00:25 - 00:00:27] 三大爷说电子机机好
[00:00:28 - 00:00:29] 到底听谁的
[00:00:30 - 00:00:31] 到底听谁的
[00:00:31 - 00:00:32] 我告诉大家
[00:00:32 - 00:00:34] 你在我们这儿报局
[00:00:34 - 00:00:34] 报考罗一总
[00:00:34 - 00:00:35] 我们怎么解决的
[00:00:36 - 00:00:37] 听我的
[00:00:38 - 00:00:41] 你都不是专业干这个的
[00:00:41 - 00:00:43] 你说这个好
[00:00:43 - 00:00:44] 你只看到了片面的一面
[00:00:44 - 00:00:47] 你只看到了所谓的光线的一面
[00:00:47 - 00:00:48] 你不要只记贼驰肉
[00:00:48 - 00:00:50] 不记贼挨打
[00:00:50 - 00:00:51] 计算记好
[00:00:51 - 00:00:52] 挣钱多
[00:00:52 - 00:00:53] 加班多
[00:00:53 - 00:00:54] 厉害
[00:00:54 - 00:00:55] 法律好
[00:00:55 - 00:00:56] 考公务员
[00:00:56 - 00:00:58] 司法考试多难考
[00:00:58 - 00:01:00] 电子信息好
[00:01:00 - 00:01:01] 你物理怎么样
[00:01:01 - 00:01:03] 你万一在上面卷不动的
[00:01:03 - 00:01:04] 你考公务员
[00:01:04 - 00:01:05] 电子信息考公务员要的岗位多吗
[00:01:06 - 00:01:08] 学校好最重要
[00:01:08 - 00:01:10] 你学的个旅游管理怎么办
[00:01:11 - 00:01:12] 所以说好与不好
[00:01:12 - 00:01:14] 那叫因人而异各位
[00:01:15 - 00:01:16] 所以说大家你一定要记住
[00:01:16 - 00:01:17] 在报考职员的时候
[00:01:17 - 00:01:19] 你的报考逻辑一定要坚定
[00:01:20 - 00:01:21] 知道吗
[00:01:21 - 00:01:22] 你别今天这样
[00:01:22 - 00:01:22] 明天那样
[00:01:22 - 00:01:23] 今天这样
[00:01:23 - 00:01:24] 明天那样
[00:01:24 - 00:01:25] 变来变去变来变去
[00:01:25 - 00:01:26] 完了
