BV号：BV1Cm4y1v711
标题：BV1Cm4y1v711
链接：https://www.bilibili.com/video/BV1Cm4y1v711
识别语言：zh
语言置信度：1
分段数：71
生成时间：2026-04-03 14:55:14

[00:00:00 - 00:00:02] 今天给大家介绍一所中国所谓
[00:00:02 - 00:00:05] 我个人觉得就是最憋屈的大学
[00:00:05 - 00:00:08] 它惯以江南之名却被一些网友误会是
[00:00:08 - 00:00:10] 江南皮革厂的新闻的发言人地
[00:00:10 - 00:00:13] 还屡屡被误解为民办三本
[00:00:13 - 00:00:15] 实际上人家可是赤尸八经的
[00:00:15 - 00:00:16] 教育部直属高校
[00:00:16 - 00:00:19] 国家222的工程重点建设高校和
[00:00:19 - 00:00:20] 双一流建设高校
[00:00:20 - 00:00:23] 在2022年中国管理科学研究院
[00:00:23 - 00:00:24] 中国大学评价的排行榜当中
[00:00:24 - 00:00:26] 位居全国第45名
[00:00:26 - 00:00:28] 它就是江南大学
[00:00:28 - 00:00:32] 江南大学是以所以清工业高等教育为特色的综合性大学
[00:00:32 - 00:00:36] 被誉为清工高等教育的民族江南第一学府
[00:00:36 - 00:00:40] 和温州江南皮革厂是没有半点关系的
[00:00:40 - 00:00:41] 它没倒币啊
[00:00:41 - 00:00:46] 江南大学学校是原起于1902年创建的三江师范学堂
[00:00:46 - 00:00:49] 历经国立中央大学南京大学等发展时期
[00:00:49 - 00:00:51] 1958年与吴希独立介校
[00:00:51 - 00:00:55] 有着悠久的半学历史和厚重的文化成绩
[00:00:55 - 00:00:58] 大学在哪里独选对城市很重要
[00:00:58 - 00:01:01] 江南大学位于长三角几合的中心 吴希
[00:01:01 - 00:01:04] 吴希是中国最具经济活力的城市之一
[00:01:04 - 00:01:07] 连续三年人均GDP产连全国首位
[00:01:07 - 00:01:09] 拥有十大千亿级产业集群
[00:01:09 - 00:01:12] 连续获凭中国最佳隐财城市
[00:01:12 - 00:01:16] 中国最具幸福感城市和最佳促进就业城市
[00:01:16 - 00:01:18] 上好大学更要选对好德业
[00:01:18 - 00:01:20] 江南大学学科期选特色鲜明
[00:01:20 - 00:01:23] 共五十个学科进入到ESI全球前百分之一
[00:01:23 - 00:01:25] 其中有一个学科人的机身
[00:01:25 - 00:01:27] 前千分之零点一三
[00:01:27 - 00:01:28] 食品科學與工程
[00:01:28 - 00:01:29] 輕工技術與工程
[00:01:29 - 00:01:31] 入選雙一流建設學科
[00:01:31 - 00:01:34] 設計學在最新一輪的學科評估當中
[00:01:34 - 00:01:35] 也取得了重大突破
[00:01:35 - 00:01:37] 學校2023年
[00:01:37 - 00:01:38] 招生專業一共有55個
[00:01:38 - 00:01:40] 其中47個專業為國家級
[00:01:40 - 00:01:43] 升級一流本科專業建設點
[00:01:43 - 00:01:45] 那麼學校所設的專業
[00:01:45 - 00:01:47] 與長三角城市產業集群
[00:01:47 - 00:01:48] 高度契合
[00:01:48 - 00:01:50] 江南大學以建設世界知名
[00:01:50 - 00:01:52] 中國一流江南風格的
[00:01:52 - 00:01:54] 研究性大學為戰略目標
[00:01:54 - 00:01:56] 著力排氧拔減創新人才
[00:01:56 - 00:01:58] 剩有四大特色培養模式
[00:01:58 - 00:01:59] 生物工程
[00:01:59 - 00:02:02] 國家生命科學與技術人才基地班
[00:02:02 - 00:02:05] 採取三加三本稻塑的聯讀學制
[00:02:05 - 00:02:08] 臨床醫學五加三本塑一體化科學班
[00:02:08 - 00:02:12] 面向臨床醫學大醫新生二次選拔
[00:02:12 - 00:02:16] 五年本科畢業後可免試攻讀碩士研究生
[00:02:16 - 00:02:17] 軍遠學院
[00:02:17 - 00:02:19] 大造新工科人才培養模式範
[00:02:19 - 00:02:22] 全院本科生生學率將近70%
[00:02:22 - 00:02:25] 智慧學院選拔各專業前3%
[00:02:25 - 00:02:29] 具有突出培養潛質或特殊專長的優秀學生
[00:02:29 - 00:02:31] 採用專業學習在生源學院
[00:02:31 - 00:02:35] 素質提升在智晒學院的人才共培模式
[00:02:35 - 00:02:36] 升學率達100%
[00:02:36 - 00:02:39] 同時學校還實行寬泛的轉專業政策
[00:02:39 - 00:02:42] 為學生提供二次選擇的機會
[00:02:42 - 00:02:45] 學校近年來本科升學率達41%以上
[00:02:45 - 00:02:46] 其中保原率15%
[00:02:46 - 00:02:49] 就業率穩定在95%以上
[00:02:49 - 00:02:52] 學生去向主要集中在長三角和諸三角城市群
[00:02:52 - 00:02:55] 歡迎廣大優秀學子報考江南大學
