BV号：BV1CrkeBrEuZ
标题：BV1CrkeBrEuZ
链接：https://www.bilibili.com/video/BV1CrkeBrEuZ
识别语言：zh
语言置信度：1
分段数：145
生成时间：2026-04-03 00:37:23

[00:00:00 - 00:00:02] 这就是汇报支援和不会报价的家长
[00:00:02 - 00:00:03] 他差别是什么呢
[00:00:03 - 00:00:04] 他会占便宜
[00:00:04 - 00:00:05] 怎么占便宜呢
[00:00:05 - 00:00:06] 来各位家长
[00:00:06 - 00:00:07] 来教你怎么占便宜
[00:00:07 - 00:00:08] 来各位家长
[00:00:08 - 00:00:10] 比如说我给大家举个简单的例子
[00:00:11 - 00:00:12] 老师我要报法学
[00:00:12 - 00:00:13] 我要报法学
[00:00:13 - 00:00:16] 普通家长他只知道法学是法学
[00:00:16 - 00:00:18] 但是比较厉害的家长
[00:00:18 - 00:00:20] 比如说直播间的各位
[00:00:20 - 00:00:21] 你们就会知道什么呢
[00:00:21 - 00:00:23] 除了法学以外
[00:00:23 - 00:00:24] 还有什么专业
[00:00:24 - 00:00:25] 他也是法学
[00:00:25 - 00:00:26] 比如说你看
[00:00:26 - 00:00:29] 资产权这个大家可能知道的比较多
[00:00:29 - 00:00:31] 但是其他专业大家知道的就不多了
[00:00:31 - 00:00:33] 比如说叫国际经贸规则
[00:00:33 - 00:00:35] 国际经贸规则它也是法学
[00:00:35 - 00:00:38] 它也一样可以考虑是职业资格证
[00:00:38 - 00:00:41] 但是你会发现一个学校法学的分很高
[00:00:41 - 00:00:44] 但国际经贸规则分就没有那么高
[00:00:44 - 00:00:48] 你就可以用第一份上一个比较好的学校的法学类
[00:00:48 - 00:00:48] 听懂了吗
[00:00:48 - 00:00:50] 我文科给你举一个例子
[00:00:50 - 00:00:51] 理工科给你举一个例子
[00:00:51 - 00:00:52] 文科我就给你举法学
[00:00:52 - 00:00:53] 因为法学很热
[00:00:53 - 00:00:55] 再比如各位家长社区酒政
[00:00:55 - 00:00:58] 这个专业是最不像法学的专业
[00:00:58 - 00:00:59] 社区纠正
[00:00:59 - 00:01:00] 社区纠正
[00:01:00 - 00:01:01] 很多家长说
[00:01:01 - 00:01:02] 张老师社区纠正
[00:01:02 - 00:01:05] 那他不就是干基层工作的吗
[00:01:05 - 00:01:06] 但家长他其实是法学
[00:01:06 - 00:01:08] 你有兴趣你去看一看
[00:01:08 - 00:01:09] 你看看上海政法
[00:01:09 - 00:01:12] 你报上海政法学院法学得多
[00:01:12 - 00:01:13] 但是你有想去上海
[00:01:13 - 00:01:14] 但又想去上海政法
[00:01:14 - 00:01:15] 法学分量不够
[00:01:15 - 00:01:18] 你去看看上海政法学院的社区纠正
[00:01:18 - 00:01:20] 上海政法学院的社区纠正
[00:01:20 - 00:01:21] 得比上海政法学院的法学
[00:01:21 - 00:01:24] 起码得第五到十
[00:01:24 - 00:01:25] 不同成分都一样
[00:01:25 - 00:01:26] 有的成分第五字
[00:01:26 - 00:01:27] 有的成分第十分
[00:01:27 - 00:01:29] 你分不过上海政法学院的法学
[00:01:29 - 00:01:31] 但是你又想上他的法学
[00:01:31 - 00:01:32] 怎么办
[00:01:32 - 00:01:34] 上海政法学院有社区教授
[00:01:34 - 00:01:36] 你汇报你就知道
[00:01:36 - 00:01:37] 社区教授也是法学
[00:01:37 - 00:01:39] 他也能考虑自己的自个症
[00:01:39 - 00:01:40] 也不知道你就不会报
[00:01:40 - 00:01:41] 这是文科
[00:01:41 - 00:01:43] 来 我再给你举两个理由
