BV号：BV1vg411v73n
标题：BV1vg411v73n
链接：https://www.bilibili.com/video/BV1vg411v73n
识别语言：zh
语言置信度：1
分段数：33
生成时间：2026-04-03 16:59:54

[00:00:00 - 00:00:01] 就是如果说你要稳定的话
[00:00:01 - 00:00:03] 很可能像航空航天电器这种专业
[00:00:03 - 00:00:04] 可能会更适合
[00:00:04 - 00:00:07] 但如果说你要未来很多的未知
[00:00:07 - 00:00:09] 你希望去未来去闯一闯
[00:00:09 - 00:00:11] 你也希望所谓的
[00:00:11 - 00:00:12] 就是说句不好听的话
[00:00:12 - 00:00:14] 叫过止最精明的生活的话
[00:00:14 - 00:00:16] 你也希望自己能够生家
[00:00:16 - 00:00:18] 有一个比较大的一个跃进
[00:00:18 - 00:00:20] 那你可以考虑一下
[00:00:20 - 00:00:21] 就是计算机这种变化
[00:00:21 - 00:00:23] 比较多的这种专业
[00:00:23 - 00:00:24] 就是需求量的人在
[00:00:24 - 00:00:25] 大家有兴趣的话
[00:00:25 - 00:00:26] 你到各大平台你去看
[00:00:26 - 00:00:28] 大厂你说大厂在裁员
[00:00:28 - 00:00:30] 但是大厂有没有在招聘
[00:00:30 - 00:00:31] 也在招聘
[00:00:31 - 00:00:32] 就是你未来你在找我们做的招聘
[00:00:32 - 00:00:33] 分成两种招聘
[00:00:33 - 00:00:34] 一种叫做校园招聘
[00:00:34 - 00:00:35] 叫校招
[00:00:35 - 00:00:36] 还有一种叫社招
[00:00:36 - 00:00:37] 社会招聘
[00:00:37 - 00:00:38] 大厂对于社会招聘
[00:00:38 - 00:00:39] 优质人才的这种
[00:00:39 - 00:00:40] 需求量
[00:00:40 - 00:00:41] 永远都在
[00:00:41 - 00:00:42] 没缺货
[00:00:42 - 00:00:42] 所以说的话
[00:00:42 - 00:00:44] 就看你自己的情况了
[00:00:44 - 00:00:44] 对
