BV号：BV1gg4y1m7H6
标题：BV1gg4y1m7H6
链接：https://www.bilibili.com/video/BV1gg4y1m7H6
识别语言：zh
语言置信度：1
分段数：32
生成时间：2026-04-03 12:44:43

[00:00:00 - 00:00:02] 然后土木有力学中伍里
[00:00:02 - 00:00:03] 但是偏力学
[00:00:03 - 00:00:04] 但是你要不要干这个行道
[00:00:04 - 00:00:05] 你注意一下 好吧
[00:00:05 - 00:00:07] 水利就是土木
[00:00:07 - 00:00:09] 它是土木设施的
[00:00:09 - 00:00:11] 巨像化的一种体现
[00:00:11 - 00:00:14] 因为土木设施可以盖楼
[00:00:14 - 00:00:15] 也可以做水利
[00:00:15 - 00:00:16] 它俩就是一个专业
[00:00:16 - 00:00:17] 它俩在研究上阶段
[00:00:17 - 00:00:19] 就是一个专业
[00:00:19 - 00:00:20] 所以说你抱土木就显得
[00:00:20 - 00:00:21] 等于抱水利
[00:00:21 - 00:00:22] 抱水利就等于抱土
[00:00:22 - 00:00:22] 知道吗
[00:00:22 - 00:00:24] 它俩没什么特别大差别 好吧
[00:00:24 - 00:00:25] 测绘写个
[00:00:25 - 00:00:27] 他就是干测绘的
[00:00:27 - 00:00:28] 他后面有一个专业
[00:00:28 - 00:00:29] 这个专业是这样家长
[00:00:29 - 00:00:31] 摇杆是高级的
[00:00:31 - 00:00:34] 就相当于把测绘出来的数据
[00:00:34 - 00:00:37] 信息化,数字化,网络化,叫摇杆
[00:00:37 - 00:00:40] 这个地理信息怎么测的叫测绘
[00:00:40 - 00:00:41] 但是你把测出来的数据
[00:00:41 - 00:00:45] 叫数据化,信息化,网络化,叫摇杆
[00:00:45 - 00:00:47] 所以说如果你研究生能考上
[00:00:47 - 00:00:48] 你是摇杆
[00:00:48 - 00:00:48] 研究生考不上
[00:00:48 - 00:00:49] 你本科学摇杆的
[00:00:49 - 00:00:51] 你也是土木
