BV号：BV15C4y1b7MX
标题：BV15C4y1b7MX
链接：https://www.bilibili.com/video/BV15C4y1b7MX
识别语言：zh
语言置信度：1
分段数：153
生成时间：2026-04-04 01:38:47

[00:00:04 - 00:00:07] 这是一个教你怎么在高考院联盟当中
[00:00:07 - 00:00:08] 如何选学校
[00:00:08 - 00:00:09] 如何选专业
[00:00:09 - 00:00:10] 如何报支援
[00:00:10 - 00:00:12] 不后悔的付费专栏
[00:00:16 - 00:00:17] 你找学的这个专业
[00:00:17 - 00:00:19] 都是一个人才
[00:00:19 - 00:00:20] 战略储备人才
[00:00:20 - 00:00:21] 而且现在呢
[00:00:21 - 00:00:23] 对于这种学兵器科学技术的专业
[00:00:23 - 00:00:24] 来人来讲
[00:00:24 - 00:00:26] 又有一个新的发展的机遇
[00:00:26 - 00:00:27] 什么发展机遇呢
[00:00:27 - 00:00:28] 就是我们下面说的这四个字
[00:00:28 - 00:00:30] 叫做军民融合
[00:00:30 - 00:00:31] 我估计啊
[00:00:31 - 00:00:33] 可能很多家长和考生
[00:00:33 - 00:00:35] 都是第一次听到这四个字
[00:00:35 - 00:00:36] 叫做军民融合
[00:00:36 - 00:00:38] 如果说你不是第一次听到这四个字的话
[00:00:38 - 00:00:40] 你就知道我再给你讲什么
[00:00:40 - 00:00:45] 居民如何是指的是我们国家的军队和我们人民的一些东西
[00:00:45 - 00:00:49] 要在科技、经济、教育和人才的相互这种领域
[00:00:49 - 00:00:51] 来进行一个相互的融合
[00:00:51 - 00:00:52] 我给大家举一个简单的例子
[00:00:52 - 00:00:53] 比如说
[00:00:54 - 00:00:58] 我现在军队当中的一些科技进步发展
[00:00:58 - 00:01:00] 我研究出来的一些东西
[00:01:00 - 00:01:02] 能不能迷糊
[00:01:03 - 00:01:06] 能不能对老百姓的生活产生影响
[00:01:06 - 00:01:09] 能不能让老百姓的生活质量更加的提高
[00:01:09 - 00:01:12] 那我这个军队研究书的技术
[00:01:12 - 00:01:14] 在民用当中我怎么用
[00:01:14 - 00:01:17] 我怎么去成立这样的企业
[00:01:17 - 00:01:20] 我怎么跟军队来进行利益分配
[00:01:20 - 00:01:21] 这是其中一项
[00:01:21 - 00:01:23] 当然也可以反过来
[00:01:23 - 00:01:26] 比如说我民间有一个非常非常牛的发明
[00:01:26 - 00:01:28] 民间非常非常牛的科技
[00:01:28 - 00:01:29] 对吧
[00:01:29 - 00:01:31] 民间生产出一个非常重要的产品
[00:01:31 - 00:01:35] 我怎么能够使得军队当中也用
[00:01:35 - 00:01:35] 对吧
[00:01:35 - 00:01:37] 我这个好东西我不光老板兄弟用
[00:01:37 - 00:01:38] 军队也可以用
[00:01:38 - 00:01:39] 对吧
[00:01:39 - 00:01:40] 军队也可以采购我
[00:01:40 - 00:01:40] 我举个大家举个例子
[00:01:40 - 00:01:42] 现在经常有这样的什么呢
[00:01:42 - 00:01:43] 叫做不管是军队也好
[00:01:43 - 00:01:44] 还是警察也好
[00:01:44 - 00:01:45] 怎么样呢
[00:01:45 - 00:01:47] 我可以去采购
[00:01:48 - 00:01:50] 你民用公司民间公司的一些设备
[00:01:50 - 00:01:52] 比如说给大家举个例子
[00:01:52 - 00:01:54] 比如枪子弹药这些东西
[00:01:54 - 00:01:55] 你肯定不能生产的对吧
[00:01:55 - 00:01:56] 但是什么东西可以生产啊
[00:01:57 - 00:01:57] 车辆
[00:01:57 - 00:01:59] 比如大家你看到刚才我们有一个什么专业来着
[00:02:00 - 00:02:02] 装甲与车辆工程对吧
[00:02:02 - 00:02:03] 装甲与车辆工程
[00:02:03 - 00:02:03] 那好了
[00:02:03 - 00:02:05] 比如说现在你学了这个专业叫
[00:02:05 - 00:02:06] 庄家语车辆工程
[00:02:06 - 00:02:07] 或者是你学了机械工程
[00:02:07 - 00:02:09] 那么将来你又可能怎么样去造汽车
[00:02:09 - 00:02:09] 对吧
[00:02:09 - 00:02:10] 你可能造汽车
[00:02:10 - 00:02:12] 你造这个汽车比汉马
[00:02:13 - 00:02:14] 还要结实
[00:02:15 - 00:02:16] 但是比汉马轻
[00:02:17 - 00:02:17] 比汉马省油
[00:02:17 - 00:02:18] 大家都听说过汉马吧
[00:02:18 - 00:02:20] 其实汉马原来就是美国的军用机补车
[00:02:21 - 00:02:21] 知道吧
[00:02:21 - 00:02:23] 我现在这个材料比汉马用的要好
[00:02:23 - 00:02:24] 我比汉马轻
[00:02:24 - 00:02:26] 我比汉马省油
[00:02:26 - 00:02:27] 我比汉马结实
[00:02:28 - 00:02:30] 那这个东西明天用的好
[00:02:30 - 00:02:31] 那我军队想不想用
[00:02:31 - 00:02:32] 军队也想用
[00:02:32 - 00:02:33] 军队是不是也要怎么样
[00:02:33 - 00:02:35] 我要使我的这个装备
[00:02:35 - 00:02:37] 我要使我这个军队更加机械化
[00:02:37 - 00:02:38] 对吧
[00:02:38 - 00:02:39] 我这个坦克我要更接受
[00:02:39 - 00:02:40] 我要更新
[00:02:40 - 00:02:40] 我要跑的更快
[00:02:40 - 00:02:41] 我跑的更远
[00:02:41 - 00:02:42] 我火力要更足
[00:02:42 - 00:02:43] 对不对
[00:02:43 - 00:02:45] 这个时候如果说我民间的科技
[00:02:45 - 00:02:46] 发展到一定程度
[00:02:46 - 00:02:47] 我民间的科技发展
[00:02:47 - 00:02:48] 我已经超过你军队研究
[00:02:48 - 00:02:49] 这个东西的发展了
[00:02:49 - 00:02:50] 我军队想买的话
[00:02:50 - 00:02:51] 可不可以采购
[00:02:51 - 00:02:52] 也可以采购
[00:02:52 - 00:02:53] 我军队用的产品
[00:02:53 - 00:02:55] 我采购于民间的公司
[00:02:55 - 00:02:57] 我民间用的一些科技技术
[00:02:57 - 00:03:00] 我采购于军队的科研机构
[00:03:00 - 00:03:01] 这个叫做什么
[00:03:01 - 00:03:02] 叫做軍民融合
[00:03:03 - 00:03:05] 而且我們要不光在科技領域
[00:03:05 - 00:03:07] 我們也要在經濟領域
[00:03:07 - 00:03:07] 教育領域
[00:03:07 - 00:03:08] 人才領域
[00:03:08 - 00:03:09] 來相互合作
[00:03:09 - 00:03:10] 相互融合
[00:03:11 - 00:03:13] 這個是我們這個專業
[00:03:13 - 00:03:16] 兵器科學與技術的一個重要的
[00:03:16 - 00:03:16] 一個發展方向
[00:03:16 - 00:03:18] 也是未來重要的一個發展路徑
[00:03:18 - 00:03:20] 我目前了解到的
[00:03:20 - 00:03:21] 我目前了解到的大多數
[00:03:21 - 00:03:24] 目前咱們國家做這個軍民融合的人
[00:03:24 - 00:03:26] 大多數都是什麼
[00:03:26 - 00:03:27] 都是原來一些
[00:03:27 - 00:03:30] 相關的一些軍隊的科研人員
[00:03:31 - 00:03:34] 对吧 因为他可能他原来知道说
[00:03:34 - 00:03:36] 我们军队可能对于哪些东西
[00:03:36 - 00:03:40] 哪些行业是可以采购民间企业的
[00:03:40 - 00:03:42] 现在军民融合是我们国家战略的一个
[00:03:42 - 00:03:43] 非常非常重要的一个方向
[00:03:43 - 00:03:46] 那好了 我知道军队哪些东西哪些
[00:03:46 - 00:03:49] 设备可以用民间设计的东西
[00:03:49 - 00:03:50] 那这个人员怎么样
[00:03:50 - 00:03:53] 他将来转了业以后
[00:03:53 - 00:03:53] 就有可能干什么
[00:03:53 - 00:03:56] 就有可能去做这样一个军民融合公司
[00:03:56 - 00:03:58] 我专门设计一些产品
[00:03:58 - 00:04:00] 能够符合军队的采购需求
[00:04:00 - 00:04:04] 我说设计一些产品能够专门符合警察的
[00:04:04 - 00:04:05] 这个队伍的采购需求
[00:04:05 - 00:04:07] 这样的话叫做军民融合
[00:04:07 - 00:04:08] 所以说的话你快快去
[00:04:08 - 00:04:10] 你未来你就业的行业还是
[00:04:10 - 00:04:11] 挺宽泛的
[00:04:11 - 00:04:14] 你要么就可以去进入传统的
[00:04:14 - 00:04:17] 这样的一个武器设计机构
[00:04:17 - 00:04:18] 来进行工作
[00:04:18 - 00:04:19] 那么要么你可以怎么样
[00:04:19 - 00:04:21] 也可以做军民融合这方面
[00:04:21 - 00:04:21] 不管怎么样
[00:04:21 - 00:04:23] 你绝对都是一个人才
[00:04:23 - 00:04:24] 所以说的话
[00:04:24 - 00:04:26] 对于这个专业的未来就业方向
[00:04:26 - 00:04:26] 发展方向
[00:04:26 - 00:04:29] 我个人还是非常看好的
