BV号：BV1uf4y1R7pV
标题：BV1uf4y1R7pV
链接：https://www.bilibili.com/video/BV1uf4y1R7pV
识别语言：zh
语言置信度：1
分段数：133
生成时间：2026-04-04 01:52:13

[00:00:00 - 00:00:03] 这是一个教你怎么在高考职院填冒当中
[00:00:03 - 00:00:05] 如何选学校 如何选专业
[00:00:05 - 00:00:08] 如何报职院不后悔的付费专栏
[00:00:11 - 00:00:12] 我们经常看到什么
[00:00:12 - 00:00:15] 叫建筑大奖
[00:00:15 - 00:00:16] 而且设计
[00:00:16 - 00:00:18] 说这个楼设计的真漂亮
[00:00:18 - 00:00:19] 行 悉尼哥居院
[00:00:19 - 00:00:20] 对 把什么ifr提到
[00:00:20 - 00:00:22] 这个设计挺漂亮
[00:00:22 - 00:00:24] 没说这个概的挺漂亮
[00:00:24 - 00:00:25] 概的它是技术环节
[00:00:25 - 00:00:26] 它不设计到漂亮
[00:00:26 - 00:00:28] 但是建筑学它设计到漂亮
[00:00:28 - 00:00:31] 它是一个工程和艺术的一个结合
[00:00:31 - 00:00:33] 然后就业前景可以说是非常的不错
[00:00:33 - 00:00:34] 首先第一
[00:00:35 - 00:00:35] 房地产
[00:00:36 - 00:00:36] 房地产
[00:00:37 - 00:00:38] 一说到这三个字
[00:00:38 - 00:00:40] 大家马上想到钱是吧
[00:00:40 - 00:00:41] 房子好贵
[00:00:41 - 00:00:42] 是不是
[00:00:42 - 00:00:43] 你知道老师
[00:00:43 - 00:00:46] 房地产行业最近不是那么特别的景气
[00:00:46 - 00:00:48] 可能听起来不是那么特别的景气
[00:00:48 - 00:00:49] 它未来发展怎样
[00:00:50 - 00:00:51] 我想告诉大家的是什么
[00:00:51 - 00:00:52] 大家你有没有发现
[00:00:52 - 00:00:55] 中国一直在进行一个视线叫做成正化
[00:00:56 - 00:00:57] 一直在进行一个成正化建设
[00:00:57 - 00:01:00] 就是你会发现在农村待在的人
[00:01:00 - 00:01:01] 越来越少了
[00:01:02 - 00:01:04] 各位家长可能会很有体会
[00:01:04 - 00:01:04] 对不对
[00:01:04 - 00:01:07] 各位家长你想一想当年您小时候
[00:01:07 - 00:01:09] 当年您小时候
[00:01:09 - 00:01:11] 当时农村有多少人
[00:01:11 - 00:01:13] 可能您小时候就是在农村长大的
[00:01:13 - 00:01:13] 对吗
[00:01:14 - 00:01:17] 慢慢后来你会发现你村里的人基本上都搬到
[00:01:17 - 00:01:18] 城里边去了
[00:01:18 - 00:01:19] 对吧
[00:01:19 - 00:01:22] 那么村里边搬到了县里边搬到了市里
[00:01:22 - 00:01:24] 市里边搬到了省会
[00:01:25 - 00:01:26] 省会的人可能会去哪里
[00:01:27 - 00:01:29] 省会的人可能会往区域中心城市跑
[00:01:29 - 00:01:31] 區域中心城市的人去哪裡
[00:01:31 - 00:01:33] 很有可能就往超一線城市跑
[00:01:33 - 00:01:34] 對不對
[00:01:34 - 00:01:35] 所以說你會發現整個農村的人
[00:01:35 - 00:01:37] 現在是越來越少
[00:01:37 - 00:01:39] 一直在進行一個
[00:01:39 - 00:01:40] 城鎮化的建設
[00:01:40 - 00:01:43] 而且我們對於房地產的這種需求
[00:01:43 - 00:01:44] 已經不僅僅單單的
[00:01:44 - 00:01:45] 是在
[00:01:45 - 00:01:47] 所謂的有的有的重
[00:01:47 - 00:01:49] 這麼一個簡單的訴求了
[00:01:49 - 00:01:51] 如果說你正前面越來越多的話
[00:01:51 - 00:01:53] 你一定會有更高的建築訴求
[00:01:53 - 00:01:55] 更高的對於房地產這方面的訴求
[00:01:55 - 00:01:57] 比如說我給大家舉個最簡單的例子
[00:01:57 - 00:01:58] 刚开始去北京的时候
[00:01:58 - 00:01:59] 我是租房的住
[00:01:59 - 00:02:00] 大概就是
[00:02:00 - 00:02:02] 租有我现在路口室这么大
[00:02:02 - 00:02:04] 就是很小的一个地方
[00:02:04 - 00:02:04] 知道吧
[00:02:04 - 00:02:05] 后来呢
[00:02:05 - 00:02:07] 我买房子买了一个一居室
[00:02:08 - 00:02:09] 我那个时候就觉得说
[00:02:09 - 00:02:10] 我租房子过去就觉得
[00:02:10 - 00:02:11] 我有个房子住
[00:02:11 - 00:02:12] 自己的房子住
[00:02:12 - 00:02:13] 我就很满意了
[00:02:13 - 00:02:15] 终于我买了自己的房
[00:02:15 - 00:02:16] 买了一个一居室
[00:02:16 - 00:02:17] 发现一居室不够住
[00:02:18 - 00:02:19] 因为我结婚了
[00:02:20 - 00:02:20] 然后的话
[00:02:20 - 00:02:21] 再租房子呢
[00:02:21 - 00:02:22] 我就换了一个两居室
[00:02:22 - 00:02:24] 发现换两居室也不够住
[00:02:24 - 00:02:26] 也就那样
[00:02:26 - 00:02:27] 现在换了一个三居室
[00:02:27 - 00:02:30] 现在我们的房子是140多坪
[00:02:30 - 00:02:31] 还不够住
[00:02:32 - 00:02:33] 而且也不够住
[00:02:33 - 00:02:36] 就发现140多坪也就这样
[00:02:36 - 00:02:37] 还不够住
[00:02:37 - 00:02:38] 你要一直想着说你看
[00:02:38 - 00:02:39] 我有一个书房
[00:02:39 - 00:02:40] 对吧
