BV号：BV1hT4y1R7Kr
标题：BV1hT4y1R7Kr
链接：https://www.bilibili.com/video/BV1hT4y1R7Kr
识别语言：zh
语言置信度：1
分段数：46
生成时间：2026-04-03 21:32:28

[00:00:00 - 00:00:02] 大家好我上学习变得更回来的张雪峰老师
[00:00:02 - 00:00:04] 上次的视频发布以后有很多朋友就留言说
[00:00:04 - 00:00:08] 嗨我总算搞明白这什么双一流9852有啥区别了
[00:00:08 - 00:00:10] 但这双一流具体是怎么构成的呢
[00:00:10 - 00:00:12] 我们今天就来接着来说一说
[00:00:12 - 00:00:18] 咱们教育部呢把他们分成了叫做大学建设和学科建设这两种
[00:00:18 - 00:00:22] 世界一流大学建设高中的室友42所
[00:00:22 - 00:00:27] 其中36所A6都是我们熟知的一些老牌的985中大学
[00:00:27 - 00:00:29] 像什么清北辐椒啊你看着都在榜上
[00:00:29 - 00:00:32] 那B类的学校的话是有6所
[00:00:32 - 00:00:35] 其中东北大学、湖南大学和西北农林科技大学
[00:00:35 - 00:00:38] 这三所呢是原来的叫985共产大学
[00:00:38 - 00:00:42] 那么另外还有三所高校分别是郑卓大学
[00:00:42 - 00:00:42] 啊
[00:00:42 - 00:00:45] 大家都知道那就是岸地本科武校啊
[00:00:45 - 00:00:47] 还有像云南大学和新疆大学
[00:00:47 - 00:00:49] 他们呢是我们过去的R1
[00:00:49 - 00:00:50] 那么现在呢
[00:00:50 - 00:00:54] 他们是双一流一一流高校的建设范围学历
[00:00:54 - 00:00:58] 那当然现在可不要在R1985了啊
[00:00:58 - 00:01:01] 因为2019年教育部官网就已经明确发布了
[00:01:01 - 00:01:08] 将211工程和985工程等重点建设项目统筹为双一楼建设了
[00:01:08 - 00:01:11] 那双一楼学科建设高校的话有95所
[00:01:11 - 00:01:15] 双一楼建设学科共计有465个
[00:01:15 - 00:01:17] 其中自定的学科有44个
[00:01:17 - 00:01:19] 那什么叫自定学科呢
[00:01:19 - 00:01:23] 就是这个学校到底哪个学科要想办法
[00:01:23 - 00:01:26] 把咱们说世界一楼学科有学校自己定
[00:01:26 - 00:01:28] 这个叫自定一流学科
[00:01:28 - 00:01:32] 那像刚才我们所讲的有42所世界一流大学建设高校
[00:01:32 - 00:01:34] 他们都是有一流学科建设的
[00:01:34 - 00:01:39] 所以说合计有137所大学有双一流学科建设
[00:01:39 - 00:01:42] 那么如果再算上两地半学的四所高校
[00:01:42 - 00:01:44] 实际上就是141所高校
[00:01:44 - 00:01:46] 要注意的是像中国地质大学
[00:01:46 - 00:01:47] 中国控益大学
[00:01:47 - 00:01:49] 中国石油大学和河北电力大学
[00:01:49 - 00:01:51] 这四所高校是在北京和其他地区
[00:01:51 - 00:01:53] 是有两地半学的
[00:01:53 - 00:01:54] 那么咱们回家呢
[00:01:54 - 00:01:58] 对于双一流的建设以及优势学科的创新平台的推进
[00:01:58 - 00:02:01] 给到了各高校更多的动力去发展
[00:02:01 - 00:02:05] 因此我们家长和考生在选择适合自己的院校的时候
[00:02:05 - 00:02:08] 也就更需要科学的专业的去分析学校和情况
[00:02:08 - 00:02:09] 还有自身的情况
[00:02:09 - 00:02:10] 这下你了解了吗
