BV号：BV1V34y1w7NG
标题：BV1V34y1w7NG
链接：https://www.bilibili.com/video/BV1V34y1w7NG
识别语言：zh
语言置信度：1
分段数：43
生成时间：2026-04-03 13:14:48

[00:00:00 - 00:00:01] 像刚才那个家长就很聪明
[00:00:01 - 00:00:03] 张老师我报一下医学信息工程
[00:00:03 - 00:00:05] 我这里边我就不具体举例子了
[00:00:05 - 00:00:07] 我怕那个学校今年分在长长去
[00:00:07 - 00:00:08] 什么意思呢
[00:00:08 - 00:00:09] 就是我刚才说过
[00:00:09 - 00:00:11] 在极高分数段都是按大力照分的
[00:00:11 - 00:00:13] 但是在中低分数段
[00:00:13 - 00:00:14] 有学校
[00:00:14 - 00:00:16] 电子信息工程和医学信息工程
[00:00:16 - 00:00:17] 就是两个专业
[00:00:17 - 00:00:18] 它是两个志愿
[00:00:18 - 00:00:20] 两个志愿你会发现什么呢
[00:00:20 - 00:00:22] 电子信息工程分非常高
[00:00:22 - 00:00:24] 但是医学信息工程分非常低
[00:00:24 - 00:00:26] 有的省份就会出现这种情况
[00:00:26 - 00:00:26] 某一个学校
[00:00:26 - 00:00:28] 电子信息工程分高
[00:00:28 - 00:00:29] 医学信息工程分低
[00:00:29 - 00:00:32] 但其实它俩都是与电子信息类
[00:00:32 - 00:00:34] 那我们给孩子们报职员的时候
[00:00:34 - 00:00:36] 你看它报电子信息功分分不够
[00:00:36 - 00:00:36] 怎么办
[00:00:36 - 00:00:37] 报医学信息功分
[00:00:37 - 00:00:40] 这样的话它能把院校导測给保住
[00:00:40 - 00:00:42] 学的也是它想学的专业
[00:00:42 - 00:00:44] 相关专业
[00:00:44 - 00:00:45] 大家听懂了吗
[00:00:45 - 00:00:48] 这就叫一级学科四位
[00:00:48 - 00:00:49] 这就是一级学科四位
[00:00:49 - 00:00:51] 所以说你报职员的时候
[00:00:51 - 00:00:53] 你怎么去所谓的占便宜
[00:00:53 - 00:00:55] 我们给大家直播讲这种东西
[00:00:55 - 00:00:57] 就是告诉大家
[00:00:57 - 00:00:58] 你如果你自己报的话
[00:00:58 - 00:01:02] 你怎么在报纸院的时候能够去占便宜
[00:01:02 - 00:01:05] 能够让咱们家孩子用一个香醉
[00:01:05 - 00:01:07] 比较没有那么高的粉
[00:01:07 - 00:01:08] 不能说香醉比较低的粉
[00:01:08 - 00:01:09] 就是没有那么高的粉
[00:01:09 - 00:01:10] 怎么上到新一级的学校
[00:01:10 - 00:01:12] 新一级的专业
[00:01:12 - 00:01:13] 我给大家讲的就是这个东西
