BV号：BV1uz42187TU
标题：BV1uz42187TU
链接：https://www.bilibili.com/video/BV1uz42187TU
识别语言：zh
语言置信度：1
分段数：82
生成时间：2026-04-03 10:20:11

[00:00:00 - 00:00:02] 我发现很多家长有一个误区
[00:00:02 - 00:00:04] 就是一定要上985玩
[00:00:04 - 00:00:05] 但张老师跟你说
[00:00:05 - 00:00:07] 有的时候你卡着线上985
[00:00:07 - 00:00:12] 你还真不一定比区一些有实力有特色的非985也好
[00:00:12 - 00:00:14] 就比方说咱们今天要讲的这个学校
[00:00:14 - 00:00:16] 之前直播我也提到过几次
[00:00:16 - 00:00:18] 说他气象和计算机这一块非常的牛
[00:00:18 - 00:00:21] 绝对是行业的顶尖院校
[00:00:21 - 00:00:22] 说到这有同学就都猜出来了
[00:00:22 - 00:00:24] 就是南京西西工程大学
[00:00:24 - 00:00:25] 说起南京大
[00:00:25 - 00:00:26] 它不仅是双一流
[00:00:26 - 00:00:29] 还是江苏高水平大学建设高峰计划
[00:00:29 - 00:00:31] A类建设高校
[00:00:31 - 00:00:34] 不管是名气还是半学实力都是有的
[00:00:34 - 00:00:36] 尤其是大气科学的学科
[00:00:36 - 00:00:37] 全国排第一
[00:00:37 - 00:00:38] 世界排第三
[00:00:38 - 00:00:39] 全国气象系统
[00:00:39 - 00:00:41] 有七成以上的业务股干
[00:00:41 - 00:00:42] 都是从这出来的
[00:00:42 - 00:00:44] 每年的毕业生都很强确
[00:00:44 - 00:00:47] 有同学可能对于气象兴趣不大
[00:00:47 - 00:00:48] 但是你要知道气象预测
[00:00:48 - 00:00:50] 那是个很复杂的体系
[00:00:50 - 00:00:52] 男性大在这方面搞得好
[00:00:52 - 00:00:53] 那很多支撑的学科
[00:00:53 - 00:00:55] 它自然而然也就厉害
[00:00:55 - 00:00:56] 就拿计算机来说
[00:00:56 - 00:00:57] 男性大2020年
[00:00:57 - 00:01:01] 就直接进到了全球前千分之一
[00:01:01 - 00:01:04] 和这个学科有关的信息功科那转眼
[00:01:04 - 00:01:05] 也很厉害
[00:01:05 - 00:01:06] 像电子信息样
[00:01:06 - 00:01:07] 光电信息样
[00:01:07 - 00:01:08] 软件同性样
[00:01:08 - 00:01:10] 物料和工程都是国家一路专业
[00:01:10 - 00:01:13] 而且这所学校所有的专业都有说过点
[00:01:13 - 00:01:16] 半学实力这一块家长完全可以放心
[00:01:16 - 00:01:18] 在这里我想重点讲一下
[00:01:18 - 00:01:19] 他的拔肩班实验班
[00:01:19 - 00:01:21] 先说理工科
[00:01:21 - 00:01:26] 南京大光教育部和省级的拔肩基地班就三个
[00:01:26 - 00:01:28] 还都是大气科学计算机
[00:01:28 - 00:01:30] 数学营数学这些高精尖的专业
[00:01:30 - 00:01:34] 和国家大联合培养的本朔博一体化的项目
[00:01:34 - 00:01:36] 全是电子科学计算机
[00:01:36 - 00:01:37] 电子信息通信工程
[00:01:37 - 00:01:39] 软件工程这些大热专业
[00:01:39 - 00:01:42] 而且这个学校还和腾讯华为
[00:01:42 - 00:01:44] 海康威视这些民企合作的实验班
[00:01:44 - 00:01:47] 十字号讲注多还能去民企实习
[00:01:47 - 00:01:50] 最重要的是保密率都特别的高
[00:01:50 - 00:01:51] 像大气科学拔剑班
[00:01:51 - 00:01:55] 直接就是4加5本朔博一体化的培养
[00:01:55 - 00:01:58] 至于其他的也有30%左右的保研资格
[00:01:58 - 00:02:00] 上岸机会很大
[00:02:00 - 00:02:03] 当然了文革这一块南西大也是很重视的
[00:02:03 - 00:02:05] 与社科大联合培养法学
[00:02:05 - 00:02:08] 汉原文学 财务管理 金融工程四个专业
[00:02:08 - 00:02:10] 同样有三成学生可以保研
[00:02:10 - 00:02:15] 就在今年南西大还推出了几个双学位培养模式
[00:02:15 - 00:02:16] 人物智能家大体科学
[00:02:16 - 00:02:18] 金融工程家信息安全
[00:02:18 - 00:02:20] 应急管理家环境工程
[00:02:20 - 00:02:22] 有温有理 墙上加强
[00:02:22 - 00:02:25] 最后张老师还是想讲一下就业的问题
[00:02:25 - 00:02:28] 南興大的本科生畢業缺向落水率
[00:02:28 - 00:02:30] 一直是保持在95%以上
[00:02:30 - 00:02:32] 每年的有超過三成的畢業生
[00:02:32 - 00:02:35] 能夠進入到華為、同俊這些世界500強核
[00:02:35 - 00:02:36] 龍頭企業
[00:02:36 - 00:02:38] 還有三成是公務員事業單位
[00:02:38 - 00:02:40] 可以說就業質量是相當不錯的
[00:02:40 - 00:02:42] 要想繼續生造的話呢
[00:02:42 - 00:02:43] 這個學校的整體升學率呢
[00:02:43 - 00:02:45] 能有45%左右
[00:02:45 - 00:02:48] 基本上去的也都是雙業留級以上的好學校
[00:02:48 - 00:02:51] 總之南興大可以說是有名氣有實力
[00:02:51 - 00:02:52] 還好就業
[00:02:52 - 00:02:54] 不管學文學理啊都值得關注一下
