BV号：BV1xU411Z7Sz
标题：BV1xU411Z7Sz
链接：https://www.bilibili.com/video/BV1xU411Z7Sz
识别语言：zh
语言置信度：1
分段数：17
生成时间：2026-04-03 11:10:54

[00:00:00 - 00:00:03] 家长,凌虫医学在招生的时候,它叫凌虫医学类
[00:00:03 - 00:00:06] 凌虫医学类主下边这么几个转业
[00:00:06 - 00:00:12] 有七个转业,凌虫医学麻醉学,影像医学,掩饰光医学,精神医学,放射医学和儿科学
[00:00:12 - 00:00:16] 有的学校在招凌虫医学的时候只招凌虫医学
[00:00:16 - 00:00:19] 但是有的学校在招凌虫医学的时候,它可以分得很碎
[00:00:19 - 00:00:23] 精神医学也是凌虫医学
[00:00:23 - 00:00:27] 麻醉学也是凌虫医学,疫情影像学也是凌虫医学
[00:00:27 - 00:00:32] 如果我是你的,我在报志愿的时候,我很可能会报什么样的学校呢?
[00:00:32 - 00:00:37] 他把麻醉学,医学影像学,放射医学,儿科学,都当成本科专业招的学校。
[00:00:37 - 00:00:45] 这样的话,你在志愿表当中,志愿专业志愿栏当中,你就不只是在添临床医学一个专业,
[00:00:45 - 00:00:49] 而是能添临床医学的几个专业,你听懂我的话了吗?
[00:00:49 - 00:00:51] 你听懂了?
[00:00:51 - 00:00:55] 尽量选择你的位次够,且这样的学校。
[00:00:55 - 00:00:57] 你这样在专业表当中你听六个专业
[00:00:57 - 00:01:00] 但是实际上你的位次是够其中五个专业的
[00:01:00 - 00:01:02] 这样的话你被调集的概率就不相对就小
[00:01:02 - 00:01:03] 听明白了吧
