BV号：BV1oE411W7rj
标题：BV1oE411W7rj
链接：https://www.bilibili.com/video/BV1oE411W7rj
识别语言：zh
语言置信度：1
分段数：214
生成时间：2026-04-04 02:22:26

[00:00:00 - 00:00:02] 大家好 我是让学习变得更快乐的张雪峰老师
[00:00:02 - 00:00:05] 时间已经来到了2020年的3月份
[00:00:05 - 00:00:06] 大家都知道
[00:00:06 - 00:00:09] 再过三个月就到了我们学生的第一个命运准则点
[00:00:09 - 00:00:10] 就是高考
[00:00:10 - 00:00:13] 但是2020年的开局是如此的特殊
[00:00:13 - 00:00:15] 因为疫情的影响
[00:00:15 - 00:00:16] 教育部也十分的重视
[00:00:16 - 00:00:18] 最近在微博上大火的一个话题
[00:00:18 - 00:00:21] 就是教育部针对高考会不会推迟
[00:00:21 - 00:00:23] 展开了评估和讨论
[00:00:23 - 00:00:26] 使得老师家长和学生三方
[00:00:26 - 00:00:27] 但是极切又恐慌
[00:00:27 - 00:00:31] 如果推迟了高考的成绩会不会受到影响呢
[00:00:31 - 00:00:33] 教学复习质量还能不能得到保障呢
[00:00:33 - 00:00:37] 学生靠自主学习完成重要的背考
[00:00:37 - 00:00:40] 真的能和真实课堂效果是一样吗
[00:00:40 - 00:00:41] 其实要张老师来说
[00:00:41 - 00:00:43] 高考是否会推迟
[00:00:43 - 00:00:45] 不是我们现在应该关心的图号问题
[00:00:45 - 00:00:48] 高考讲的是三分十立七分心态
[00:00:48 - 00:00:49] 咱们只要心态稳了
[00:00:49 - 00:00:52] 推迟与否其实都无关紧要
[00:00:52 - 00:00:55] 现在许多高三代学生已经开启了
[00:00:55 - 00:00:57] 線上的網課複習模式
[00:00:57 - 00:01:00] 可是網課複習的這個程序
[00:01:00 - 00:01:01] 複雜多樣
[00:01:01 - 00:01:04] 老師家長學生都需要花大量的時間
[00:01:04 - 00:01:06] 來研究來適應
[00:01:06 - 00:01:07] 無論是老師家長還是學生
[00:01:07 - 00:01:10] 每個角色都面臨著許許多多的問題
[00:01:10 - 00:01:12] 這個時候咱們就要門心自問
[00:01:12 - 00:01:13] 心態不穩定
[00:01:13 - 00:01:15] 還要咱們進行下去
[00:01:15 - 00:01:16] 咱們先說老師
[00:01:16 - 00:01:18] 最近老師心態報納的情況是什麼
[00:01:19 - 00:01:21] 直播前咱們深吸一口氣
[00:01:21 - 00:01:23] 直播後臉部就逐漸有趣了
[00:01:23 - 00:01:26] 哎呀,这个直播是在哪里发消息来着
[00:01:26 - 00:01:28] 这个是哪个APP的二百码
[00:01:28 - 00:01:30] 上午用哪个APP上专业课
[00:01:30 - 00:01:33] 下午哪个APP来讨论进度
[00:01:33 - 00:01:34] 这个钱都在哪里搞
[00:01:34 - 00:01:35] 这个作业在哪里随
[00:01:35 - 00:01:36] 你看
[00:01:36 - 00:01:38] 好多那一名严肃的人民教师
[00:01:38 - 00:01:41] 硬是活生生给断了成了十八线的猛红
[00:01:41 - 00:01:43] 为了上好网课
[00:01:43 - 00:01:46] 老师们找回了曾经被软件捆绑所支配的恐惧
[00:01:46 - 00:01:49] 以为教师招聘考试就是中间的老师们
[00:01:49 - 00:01:53] 如今才发现自己的生活早已被安排的明明白白
[00:01:53 - 00:01:57] 不仅如此直播上课也在挑战了每一位老师的体面
[00:01:57 - 00:02:00] 因为老师不知道学生在那边在干什么
[00:02:00 - 00:02:03] 你看直播上课的时候老师那叫一个鸡腔膀派
[00:02:03 - 00:02:07] 一定要从中国近代史复习到了新中国的知识建设
[00:02:07 - 00:02:11] 殊不知某些学生已经跟着新中国的发展脚步
[00:02:11 - 00:02:15] 从瓦罗兰大陆出征一直征服到了王者下谷
[00:02:15 - 00:02:16] 并且完成了Pentaclure
[00:02:16 - 00:02:18] 我知道你们隔着一层网线自由自在
[00:02:18 - 00:02:20] 但是老师不用面子的
[00:02:20 - 00:02:21] 你也不怕把老师避极了
[00:02:21 - 00:02:24] 摸了往心就找到你直接把你一套帶走
[00:02:24 - 00:02:27] 更恐怖的還有催作業催打卡
[00:02:27 - 00:02:28] 學生不帶跟前
[00:02:28 - 00:02:31] 連催作業催打卡都變得不履見難
[00:02:31 - 00:02:34] 一個老師突然變身十八線的主播
[00:02:34 - 00:02:35] 悲悲在線催作業
[00:02:36 - 00:02:38] 每天都在打電話發通之日催催催
[00:02:39 - 00:02:43] 催完上課催表格催完表格催作業催完作業催反饋
[00:02:43 - 00:02:45] 等著疫情過選老師們都可以出一本書
[00:02:45 - 00:02:50] 說明去叫做這是一個關於旺客老師的催作業催打卡催到干場村段的
[00:02:50 - 00:02:51] 的悲慘故事
[00:02:52 - 00:02:53] 老师心态不稳定
[00:02:53 - 00:02:56] 难道家长就能够心态稳定了吗
[00:02:56 - 00:02:56] 不不不
[00:02:56 - 00:02:58] 你想的太简单了
[00:02:58 - 00:03:00] 老师被N个APP所支配
[00:03:00 - 00:03:02] 那边家长也同样崩溃
[00:03:02 - 00:03:03] 这个APP不会用
[00:03:03 - 00:03:05] 那BP搞省退
[00:03:05 - 00:03:06] 一天休息百世回
[00:03:06 - 00:03:07] 电到手机没电
[00:03:07 - 00:03:08] 是手也费
[00:03:08 - 00:03:09] 家长内心就想了
[00:03:10 - 00:03:12] 以前我以为我只是不适合当学生
[00:03:12 - 00:03:13] 现在发现了
[00:03:13 - 00:03:15] 我也不适合当家长
[00:03:15 - 00:03:16] 这个电视手机一电脑
[00:03:16 - 00:03:18] iPad是全面上阵
[00:03:18 - 00:03:20] N个APP恨不都有翻头六臂
[00:03:20 - 00:03:22] 我熬了40幾歲為人父母
[00:03:22 - 00:03:25] 不就是為了能夠無據無數的玩個手機嗎
[00:03:25 - 00:03:26] 有的家長就說了
[00:03:26 - 00:03:27] 你家還是好的
[00:03:27 - 00:03:28] 你這能盯著
[00:03:28 - 00:03:30] 有些家長一威功都使用
[00:03:30 - 00:03:31] 你得再先問工
[00:03:31 - 00:03:33] 你都沒工夫看孩子是不是
[00:03:33 - 00:03:35] 老師備課難度增加
[00:03:35 - 00:03:36] 網路停課孩子在家
[00:03:36 - 00:03:38] 家長上班抽身間男
[00:03:38 - 00:03:40] 夫妻進度他一片空白
[00:03:40 - 00:03:41] 然後你還得得空
[00:03:41 - 00:03:42] 還得吹一吹孩子
[00:03:42 - 00:03:44] 你的今天夫妻他怎麼樣了
[00:03:44 - 00:03:45] 孩子只要回答不上來
[00:03:45 - 00:03:46] 兩眼一翻就要發難
[00:03:46 - 00:03:48] 家長這幾天的心聲
[00:03:48 - 00:03:49] 很有可能是這樣的
[00:03:49 - 00:03:51] 我可能没那个命
[00:03:51 - 00:03:53] 活着看到沈受上大学了
[00:03:53 - 00:03:55] 一想到他一个人在家没人管
[00:03:55 - 00:03:57] 我都要周年找事了
[00:03:57 - 00:03:59] 其实别看家长老师不好过
[00:03:59 - 00:04:02] 我知道咱们同学们也不好过
[00:04:02 - 00:04:02] 你看
[00:04:02 - 00:04:03] 千道有时间
[00:04:03 - 00:04:05] 进群很紧迫
[00:04:05 - 00:04:06] 时间不过弄
[00:04:06 - 00:04:07] 害怕被错过
[00:04:07 - 00:04:08] 一旦人不在
[00:04:08 - 00:04:09] 细细就刷过
[00:04:09 - 00:04:10] 听也听不懂
[00:04:10 - 00:04:11] 还没有录播
[00:04:11 - 00:04:12] 老师倒不废话
[00:04:12 - 00:04:13] 电话到家长
[00:04:13 - 00:04:15] 你们很投扑
[00:04:15 - 00:04:16] 我们也难过
[00:04:16 - 00:04:17] 做人留一线
[00:04:17 - 00:04:18] 日后好相见
[00:04:18 - 00:04:19] 听客机器人
[00:04:19 - 00:04:20] 再现球方过
[00:04:20 - 00:04:21] 你们的苦衷
[00:04:21 - 00:04:23] 张老师太了解了
