BV号：BV1hBNjzFENi
标题：BV1hBNjzFENi
链接：https://www.bilibili.com/video/BV1hBNjzFENi
识别语言：zh
语言置信度：1
分段数：81
生成时间：2026-04-03 04:35:46

[00:00:00 - 00:00:01] 我们中国的人工智慧产业
[00:00:01 - 00:00:02] 发展的可以说说非常好
[00:00:02 - 00:00:04] 已经从我们的跟透着
[00:00:04 - 00:00:05] 那么越上维权就再到了
[00:00:05 - 00:00:07] 进步要的一个定义者
[00:00:07 - 00:00:08] 那么在技术开发
[00:00:08 - 00:00:08] 产业落地搞
[00:00:08 - 00:00:09] 我们对我们自己的
[00:00:09 - 00:00:11] 优势 高风险的工作
[00:00:11 - 00:00:12] 高风精密的工作
[00:00:12 - 00:00:13] 我们都可以交给AI
[00:00:13 - 00:00:14] 有的时候说
[00:00:14 - 00:00:15] 赵老师说
[00:00:15 - 00:00:16] 说 老师你这个
[00:00:16 - 00:00:17] 你怕不怕被AI取代
[00:00:17 - 00:00:18] 说实话
[00:00:18 - 00:00:19] 你能取代我自己
[00:00:19 - 00:00:20] 对吧
[00:00:20 - 00:00:21] 你也说句难听点的话
[00:00:21 - 00:00:21] 各位讲的
[00:00:21 - 00:00:23] 你以为我愿意给你讲课
[00:00:23 - 00:00:24] 我也不想给你讲
[00:00:24 - 00:00:26] 我拔不得被AI取代
[00:00:26 - 00:00:26] 对吧
[00:00:26 - 00:00:27] 你赵老师让我推出
[00:00:27 - 00:00:27] 对吧
[00:00:30 - 00:00:30] 对吧
[00:00:30 - 00:00:32] 现在AI几乎都能跟人一样去思考了
[00:00:32 - 00:00:33] 你比如你看夸克
[00:00:33 - 00:00:35] 他已经能够直接帮你生成一份
[00:00:35 - 00:00:38] 专业权威的这样的一个AI职业报告
[00:00:38 - 00:00:39] 这在历史上是第一次
[00:00:39 - 00:00:40] 要放在前面前
[00:00:40 - 00:00:42] 两三年前都不敢想
[00:00:42 - 00:00:43] 但是实际上
[00:00:43 - 00:00:43] 实话说
[00:00:43 - 00:00:44] 各位家人
[00:00:44 - 00:00:45] 我觉得他AI想取代我们
[00:00:45 - 00:00:46] 这还是蛮蛮的
[00:00:46 - 00:00:47] 为什么
[00:00:47 - 00:00:49] 因为各位家人里面的需求在哪
[00:00:49 - 00:00:50] 就很多家人自己都不知道自己想
[00:00:50 - 00:00:52] 你看我们家大家接触了这么多专业
[00:00:52 - 00:00:53] 你自己有的时候
[00:00:53 - 00:00:54] 就不知道自己想要做
[00:00:54 - 00:00:55] 而且的话有的时候
[00:00:55 - 00:00:56] 大家就知道
[00:00:56 - 00:00:58] 就是人和机器有过最大的参与在一起
[00:00:58 - 00:01:00] 其实人的福
[00:01:00 - 00:01:00] 它更多的
[00:01:00 - 00:01:02] 其实实际上在提供一种
[00:01:02 - 00:01:04] 叫情绪价值
[00:01:04 - 00:01:05] AI呢
[00:01:05 - 00:01:06] 它提供不了情绪价值
[00:01:06 - 00:01:07] 另外它是个国民主义
[00:01:07 - 00:01:09] 工具要想好用
[00:01:09 - 00:01:11] 显体是得会
[00:01:11 - 00:01:14] 你提的许出越明确
[00:01:14 - 00:01:16] 它给你的答案就是越正确
[00:01:16 - 00:01:17] 就假装有的时候
[00:01:17 - 00:01:18] 经常跟我说
[00:01:18 - 00:01:20] 你说抱哪个专业比较好
[00:01:20 - 00:01:21] 那什么叫好
[00:01:21 - 00:01:22] 这东西你很难说
[00:01:22 - 00:01:23] 你要用好吗
[00:01:23 - 00:01:24] 它可能这个AI
[00:01:24 - 00:01:27] 你不要去提所谓的相对词的许出
[00:01:27 - 00:01:28] 很多家让我呼吸
[00:01:28 - 00:01:30] 穿用可能在夸克所的老师
[00:01:30 - 00:01:32] 我家的高考考580的
[00:01:32 - 00:01:33] 报名的学校比较好
[00:01:33 - 00:01:34] 你在夸克所这个
[00:01:34 - 00:01:35] 那他给你的答案
[00:01:35 - 00:01:36] 不知道你好的为度
[00:01:36 - 00:01:36] 对吧
[00:01:36 - 00:01:36] 所以说大家
[00:01:36 - 00:01:37] AI很重要
[00:01:37 - 00:01:39] 也要利用好AI
[00:01:39 - 00:01:40] 也要会用AI
[00:01:40 - 00:01:41] 你得会提问题
[00:01:41 - 00:01:42] 你得会提需求
