BV号：BV1P7411J7qz
标题：BV1P7411J7qz
链接：https://www.bilibili.com/video/BV1P7411J7qz
识别语言：zh
语言置信度：1
分段数：53
生成时间：2026-04-04 02:51:09

[00:00:00 - 00:00:02] 因为大家都知道我们在高火之间的天报当中
[00:00:02 - 00:00:03] 关于服从条计这个事
[00:00:03 - 00:00:04] 大家要明白
[00:00:04 - 00:00:06] 一定要填服从条计
[00:00:06 - 00:00:07] 这是一定要填的
[00:00:07 - 00:00:08] 这个你没有
[00:00:08 - 00:00:09] 就是有些高火之间的天报老师
[00:00:09 - 00:00:11] 可能会拿这个东西讲一个多少时
[00:00:11 - 00:00:12] 我告诉你东西
[00:00:12 - 00:00:13] 屁又没有
[00:00:13 - 00:00:13] 你知道吧
[00:00:13 - 00:00:14] 你就记住一定要填
[00:00:14 - 00:00:15] 为什么
[00:00:15 - 00:00:16] 因为你一旦不填的话
[00:00:16 - 00:00:19] 就是会容易引起另外一个连锁的现象叫滑档
[00:00:19 - 00:00:20] 你一旦滑档的话
[00:00:20 - 00:00:20] 我跟你说崩溃
[00:00:20 - 00:00:22] 咱们喝的还稍微好一点
[00:00:22 - 00:00:22] 你知道吧
[00:00:22 - 00:00:24] 最崩溃的是浙江省的考生
[00:00:24 - 00:00:25] 因为我过两天要去浙江讲诺
[00:00:25 - 00:00:26] 我真的不知道怎么面对他们
[00:00:26 - 00:00:29] 他们在天报支援的时候是添80个支援
[00:00:29 - 00:00:32] 他一旦滑档的话再爆80个
[00:00:32 - 00:00:34] 二次不滑档再爆80个
[00:00:34 - 00:00:36] 也就是一个导门孩子可能会爆240个支援
[00:00:36 - 00:00:37] 你知道吧
[00:00:37 - 00:00:40] 你想就咱们现在河北让你添的几个支援
[00:00:40 - 00:00:41] 你都头疼掉命
[00:00:41 - 00:00:42] 添了添80个支援
[00:00:42 - 00:00:42] 你知道吧
[00:00:42 - 00:00:44] 这添了都添吐了你知道吗
[00:00:44 - 00:00:45] 所以说的话就是滑档这个事
[00:00:45 - 00:00:47] 对于考上来讲是非常非常严重的
[00:00:47 - 00:00:48] 为什么
[00:00:48 - 00:00:48] 跟大家这么说
[00:00:48 - 00:00:50] 你想第一批
[00:00:50 - 00:00:54] 第一批没招满的学校大概是什么样的学校
[00:00:54 - 00:00:55] 我说不定不好听的话
[00:00:55 - 00:00:57] 可能就是大家都不太愿意去的许臭
[00:00:57 - 00:00:58] 对吧
[00:00:58 - 00:01:00] 然后的话你本来考这个很高的分
[00:01:00 - 00:01:01] 然后的话你一批你滑档了
[00:01:01 - 00:01:03] 然后的话你在第二批爆的时候
[00:01:03 - 00:01:04] 本来就让人挑剩下的
[00:01:04 - 00:01:05] 对吧
[00:01:05 - 00:01:06] 就跟你买菜差不多
[00:01:06 - 00:01:06] 对吧
[00:01:06 - 00:01:07] 就本来就让人挑剩下的
[00:01:07 - 00:01:09] 然后的话你觉得那个菜的指橙色有多好
[00:01:09 - 00:01:10] 对吧
[00:01:10 - 00:01:10] 所以说的话
[00:01:10 - 00:01:12] 待定你要知道滑档这个事是很严重的
