BV号：BV1Cw411Y7cj
标题：BV1Cw411Y7cj
链接：https://www.bilibili.com/video/BV1Cw411Y7cj
识别语言：zh
语言置信度：1
分段数：31
生成时间：2026-04-03 13:39:01

[00:00:00 - 00:00:03] 我在高中的时候就是需要是刷特别多的体
[00:00:03 - 00:00:05] 就是具体体该怎么刷
[00:00:05 - 00:00:09] 呃我个人觉得刷体是有一定用处
[00:00:09 - 00:00:13] 你会见到很多很多这个知识点的各种各样的出发
[00:00:13 - 00:00:14] 那明白了
[00:00:14 - 00:00:16] 那就是每个课都是都要刷买的出
[00:00:16 - 00:00:17] 不一定不一定不一定
[00:00:17 - 00:00:19] 有的可能没有必要去刷那么多
[00:00:19 - 00:00:21] 对就是比如说你像英语啊语文
[00:00:21 - 00:00:25] 那你语文可能就没有必要特别多的刷所谓的很多的体
[00:00:25 - 00:00:27] 语文可能你的技巧
[00:00:27 - 00:00:30] 可能比你背多少文章要重要
[00:00:30 - 00:00:31] 然后的话英语的话
[00:00:31 - 00:00:33] 当你达到一定程度的时候
[00:00:33 - 00:00:34] 其实刷更多的题的目的
[00:00:34 - 00:00:36] 不是为了所谓刷更多的题
[00:00:36 - 00:00:38] 而是为了让你有这种
[00:00:38 - 00:00:40] 长时间的单词的
[00:00:40 - 00:00:42] 语法的这种记忆
[00:00:42 - 00:00:43] 所以说你英语的话
[00:00:43 - 00:00:44] 刷到一定量的时候
[00:00:44 - 00:00:45] 基本上的话也就差不多
[00:00:45 - 00:00:47] 可以固定在一个稳定的量了
[00:00:47 - 00:00:48] 但是你的数学物理化学的话
[00:00:48 - 00:00:50] 尽量还是多见识点
[00:00:50 - 00:00:51] 没毛病
[00:00:51 - 00:00:51] 好的
[00:00:51 - 00:00:54] 然后就是我现在还有一个问题就是
[00:00:54 - 00:00:55] 英语和语文上课的时候
[00:00:55 - 00:00:56] 听了也是比较认证
[00:00:56 - 00:00:59] 但是做起的时候就是做不明白
