BV号：BV1ax411a7Hp
标题：BV1ax411a7Hp
链接：https://www.bilibili.com/video/BV1ax411a7Hp
识别语言：zh
语言置信度：1
分段数：111
生成时间：2026-04-04 12:52:23

[00:00:00 - 00:00:10] 在商周王朝
[00:00:10 - 00:00:12] 那个时候很多皇帝
[00:00:12 - 00:00:14] 自己会到民间去找那些人才
[00:00:14 - 00:00:17] 比如说最有名的例子就是
[00:00:20 - 00:00:22] 这根直鱼钩
[00:00:22 - 00:00:23] 来吧
[00:00:23 - 00:00:25] 愿者上钩
[00:00:25 - 00:00:31] 吃鱼钩
[00:00:31 - 00:00:34] 莫非您就是姜紫涯
[00:00:35 - 00:00:36] 没错
[00:00:36 - 00:00:38] 真是老夫
[00:00:38 - 00:00:40] 这大千世界除了我姜紫涯
[00:00:40 - 00:00:42] 还有谁用这直鱼钩
[00:00:42 - 00:00:43] 哎
[00:00:44 - 00:00:47] 这鱼钩好像也是值得
[00:00:47 - 00:00:48] 你干嘛学我
[00:00:48 - 00:00:49] 学你
[00:00:49 - 00:00:51] 这版权是姜紫芽的
[00:00:51 - 00:00:52] 跟你有什么关系
[00:00:52 - 00:00:53] 我们学
[00:00:57 - 00:00:59] 我还是在头一次胎吧
[00:00:59 - 00:01:00] 我自己也不要鱼
[00:01:00 - 00:01:01] 你先抽不要脸
[00:01:01 - 00:01:02] 哎 抽不要脸
[00:01:02 - 00:01:03] 战过时期
[00:01:03 - 00:01:06] 各诸侯国为了军事和政治上的精神
[00:01:06 - 00:01:09] 把养门客当成时尚的风响标
[00:01:09 - 00:01:16] 演唱人海中 有你有我
[00:01:16 - 00:01:18] 那那那那那那
[00:01:18 - 00:01:19] 这位有滚青年
[00:01:19 - 00:01:23] 您这一次在下钢头奔梦场去门下
[00:01:23 - 00:01:24] 哦
[00:01:24 - 00:01:26] 这里的火石这么差
[00:01:26 - 00:01:27] 差到惊人
[00:01:27 - 00:01:29] 所以说这首歌
[00:01:29 - 00:01:31] 就是我对这个现实的批判
[00:01:32 - 00:01:36] 批判不是那个门客不是高端人才吗
[00:01:36 - 00:01:37] 怎么待遇这么差呢
[00:01:38 - 00:01:39] 三千多个同级职位
[00:01:39 - 00:01:40] 高端
[00:01:41 - 00:01:41] 我赔
[00:01:42 - 00:01:44] 那那是为什么呢
[00:01:44 - 00:01:46] 哎呀行行行行行
[00:01:46 - 00:01:47] 别聊了
[00:01:47 - 00:01:47] 走走走走
[00:01:47 - 00:01:48] 咱去下一个炒菜
[00:01:48 - 00:01:49] 走走走
[00:01:49 - 00:01:50] 哎呀
[00:01:50 - 00:01:52] 从隋唐到清朝
[00:01:52 - 00:01:54] 科举制度一直是我们国家
[00:01:54 - 00:01:57] 最重要也是独有的人才选拔制度
[00:02:01 - 00:02:02] 哎
[00:02:02 - 00:02:04] 同学要小抽吗
[00:02:04 - 00:02:05] 哎呀
[00:02:05 - 00:02:07] 老师你这是要给我放水吗
[00:02:07 - 00:02:08] 那当然
[00:02:08 - 00:02:11] 我私尊业做小抽分10年
[00:02:11 - 00:02:12] 来
[00:02:12 - 00:02:12] 哎呀
[00:02:12 - 00:02:14] 45千还能应这么小
[00:02:14 - 00:02:15] 要不怎么说
[00:02:15 - 00:02:18] 我私是尊业做小超30年
[00:02:18 - 00:02:19] 拿着吧您
[00:02:19 - 00:02:20] 行 我要了
[00:02:22 - 00:02:24] 全体考生注意了
[00:02:24 - 00:02:26] 进考场之前
[00:02:26 - 00:02:28] 把衣服 鞋子 帽子
[00:02:28 - 00:02:29] 统统脱下来
[00:02:29 - 00:02:30] 安检开始
[00:02:31 - 00:02:32] 这考试这么压
[00:02:32 - 00:02:34] 那我这只玩放哪儿
[00:02:37 - 00:02:38] 那我不考了
[00:02:38 - 00:02:40] 拿着吧 我们尊业的
[00:02:40 - 00:02:41] 不用 不用
[00:02:41 - 00:02:42] 我们尊业的
[00:02:42 - 00:02:46] 我看你还敢作弊不成
[00:02:46 - 00:02:48] 1977年
[00:02:48 - 00:02:49] 终过了十年的高考
[00:02:49 - 00:02:50] 终于恢复了
[00:02:50 - 00:02:51] 有资格报考的人
[00:02:51 - 00:02:52] 风拥而至
[00:02:52 - 00:02:54] 甚至有父子母女
[00:02:54 - 00:02:56] 携手同进考场
[00:02:56 - 00:03:02] 争容岁月
[00:03:02 - 00:03:03] 热血风流
[00:03:03 - 00:03:05] 十年了
[00:03:05 - 00:03:07] 我这次一定要考上大学
[00:03:07 - 00:03:08] 哎 乔乔
[00:03:08 - 00:03:09] 你怎么也来了呀
[00:03:09 - 00:03:10] 张大白好
[00:03:10 - 00:03:11] 我妈给我抱了名
[00:03:11 - 00:03:13] 她非让我跟我爸一块儿考
[00:03:13 - 00:03:14] 挺好的
[00:03:14 - 00:03:15] 咱咱一起上大学
[00:03:15 - 00:03:16] 来
[00:03:18 - 00:03:19] 哎呀
[00:03:20 - 00:03:22] 到了21世纪
[00:03:22 - 00:03:24] 高考成为了素质教育的试经时
[00:03:24 - 00:03:27] 每年的6月6号 7号 8号这三天
[00:03:27 - 00:03:28] 在高考考场门外
[00:03:28 - 00:03:31] 总是被围的个水泻不通
[00:03:49 - 00:03:50] 总算考完了
[00:03:50 - 00:03:50] 同学打游戏
[00:03:50 - 00:03:52] 欢乐KTV恋爱好天秘
[00:03:53 - 00:03:55] 你以为你真的解脱了
[00:03:57 - 00:03:58] 同学你考研吗
[00:03:58 - 00:03:59] 嗯
[00:03:59 - 00:04:00] 你抱一个我们班
[00:04:00 - 00:04:02] 我们班可便宜了
[00:04:02 - 00:04:02] 我们班
[00:04:02 - 00:04:04] 我们班也可
