BV号：BV1gMG1zZE34
标题：BV1gMG1zZE34
链接：https://www.bilibili.com/video/BV1gMG1zZE34
识别语言：zh
语言置信度：1
分段数：71
生成时间：2026-04-03 05:04:14

[00:00:00 - 00:00:02] 就是咱们天江不是第二年的新高考嘛
[00:00:02 - 00:00:04] 但是我看有一些学校
[00:00:04 - 00:00:06] 就是去年24年的那个分
[00:00:06 - 00:00:10] 跟23年的就是未次有的差的非常多
[00:00:10 - 00:00:11] 离宫内长得很厉害
[00:00:11 - 00:00:12] 长得很厉害
[00:00:12 - 00:00:14] 但是也有这样的
[00:00:14 - 00:00:15] 就是我看了一个那个
[00:00:15 - 00:00:17] 当时我看的一个蓝铜大学
[00:00:17 - 00:00:20] 他怎么就是有一个什么专业
[00:00:20 - 00:00:20] 就新能源
[00:00:20 - 00:00:21] 当时我看那个
[00:00:21 - 00:00:22] 有的是400多分
[00:00:22 - 00:00:23] 他就能量入
[00:00:23 - 00:00:25] 家长是这样子
[00:00:25 - 00:00:26] 家长是这样子
[00:00:26 - 00:00:28] 就是黑龙江特别有意思
[00:00:28 - 00:00:29] 他在编书的时候
[00:00:29 - 00:00:32] 他是拿着去年这个学校所谓的
[00:00:32 - 00:00:35] 在普通批和征集志愿当中
[00:00:35 - 00:00:39] 所有的数据给你放了一个最低位次
[00:00:39 - 00:00:40] 有一个学校有一年
[00:00:40 - 00:00:41] 出现过一个什么情况
[00:00:41 - 00:00:43] 有一个学校有一年
[00:00:43 - 00:00:44] 出现了中外合作半学
[00:00:44 - 00:00:47] 比普通批的位次还高的强
[00:00:47 - 00:00:47] 为什么呢
[00:00:47 - 00:00:49] 因为当年有一个傻子
[00:00:49 - 00:00:51] 在抱普通批的时候
[00:00:51 - 00:00:53] 这个傻子填了一个东西
[00:00:53 - 00:00:54] 叫不服从条计
[00:00:54 - 00:00:55] 他填了个不服从条计以后
[00:00:55 - 00:00:57] 他录了录到这个专业
[00:00:57 - 00:00:58] 他不服从条计
[00:00:58 - 00:00:59] 他就会出现什么情况
[00:00:59 - 00:01:00] 他就会退党
[00:01:00 - 00:01:00] 退党以后
[00:01:00 - 00:01:02] 这个学校本来要在这个省招
[00:01:02 - 00:01:03] 比较招招20个人
[00:01:03 - 00:01:04] 有一个人退党
[00:01:04 - 00:01:06] 那他只招到了19个人
[00:01:06 - 00:01:07] 那这一个计划就放在哪儿了
[00:01:07 - 00:01:09] 就放在征集志愿当中去了
[00:01:09 - 00:01:10] 能明白吧
[00:01:10 - 00:01:11] 啊 知道了
[00:01:11 - 00:01:13] 到征集志愿的时候
[00:01:13 - 00:01:15] 这个人在征集志愿路到了一个
[00:01:15 - 00:01:17] 特别特别特别低的位置
[00:01:17 - 00:01:18] 结果这个学校女后发现
[00:01:18 - 00:01:19] 她的最对不起位置
[00:01:19 - 00:01:20] 就变成了这个
[00:01:20 - 00:01:22] 征集志愿路的那个人
[00:01:22 - 00:01:22] 能明白吧
[00:01:22 - 00:01:25] 然后黑东江那本志愿停报书
[00:01:25 - 00:01:26] 在编写的时候特别好玩
[00:01:26 - 00:01:33] 在编写的时候是按照这个学校的最低录取分数和位置来排顺序的
[00:01:33 - 00:01:34] 因为家长不想亏分
[00:01:34 - 00:01:39] 所以说他在上面翻的时候就已经翻到了某一个学校
[00:01:39 - 00:01:41] 结果没等往下翻的时候
[00:01:41 - 00:01:43] 没翻到这个学校的时候
[00:01:43 - 00:01:45] 他就已经报完了
[00:01:45 - 00:01:47] 结果他就有可能会出现这种情况
[00:01:47 - 00:01:48] 如果说家长
[00:01:48 - 00:01:50] 尤其你看南同大学家长
[00:01:50 - 00:01:51] 你看南同大学
[00:01:51 - 00:01:53] 如果说假如说他招了八个专业
[00:01:53 - 00:01:54] 七个专业都是一万座位
[00:01:54 - 00:01:56] 只有这一个卓研是四万作为
[00:01:56 - 00:01:58] 他就是在争计职员录的
[00:01:58 - 00:01:58] 懂了吗
[00:01:58 - 00:01:59] 啊啊
