BV号：BV1L6YCzDE14
标题：BV1L6YCzDE14
链接：https://www.bilibili.com/video/BV1L6YCzDE14
识别语言：zh
语言置信度：1
分段数：51
生成时间：2026-04-03 04:11:20

[00:00:05 - 00:00:08] 你们记不记得在今年年中的时候
[00:00:08 - 00:00:10] 然后有一个联卖的家长
[00:00:10 - 00:00:11] 河南的
[00:00:11 - 00:00:12] 不知道大家还记不记得这个事情
[00:00:12 - 00:00:15] 后续就是我们联系上的这位家长
[00:00:15 - 00:00:16] 也联系上了这位考生
[00:00:16 - 00:00:17] 这位考生也非常忠气
[00:00:17 - 00:00:22] 张老师您好
[00:00:22 - 00:00:24] 今天特意录下这段视频
[00:00:24 - 00:00:27] 向您表示最真诚的感谢
[00:00:27 - 00:00:29] 您亲自帮我填报志愿
[00:00:29 - 00:00:31] 并资助了我的学费
[00:00:31 - 00:00:33] 让我如愿进入理想学府
[00:00:33 - 00:00:36] 安心地在大学里学习风火
[00:00:36 - 00:00:39] 現在我的成績在班中前幾名
[00:00:39 - 00:00:42] 上學期我也參加了各類學科競賽
[00:00:42 - 00:00:45] 在數學建模賽和計算機賽事中
[00:00:45 - 00:00:47] 取得了區域賽的成績
[00:00:47 - 00:00:49] 當我將來有能力了
[00:00:49 - 00:00:52] 我也要像您一樣去幫助別人
[00:00:52 - 00:00:53] 把這份愛心傳遞下去
[00:00:53 - 00:00:55] 其實我知道您幫助的
[00:00:55 - 00:00:57] 不只是我一個人
[00:00:57 - 00:00:58] 在網上經常能看到
[00:00:58 - 00:01:01] 您為貧困學生奔走的新聞
[00:01:01 - 00:01:05] 張老師謝謝您 您辛苦了
[00:01:05 - 00:01:19] 北上海電力大學
[00:01:19 - 00:01:21] 北京交通大學
[00:01:21 - 00:01:22] 西北東林科技大學
[00:01:22 - 00:01:24] 國交大學 動物科學系
[00:01:24 - 00:01:25] 北京郵電大學 東北大學
[00:01:25 - 00:01:26] 國防科技大學
[00:01:26 - 00:01:27] 下峽大學
[00:01:27 - 00:01:28] 華東交通大學
[00:01:28 - 00:01:30] 重慶理工大學
[00:01:30 - 00:01:30] 東北石油大學
[00:01:30 - 00:01:32] 中國傳媒大學
[00:01:32 - 00:01:33] 中國石油大學
[00:01:33 - 00:01:34] 北寧夏大學
[00:01:34 - 00:01:35] 常中央工程學院
[00:01:35 - 00:01:37] 中國海洋大學
[00:01:37 - 00:01:38] 北京郵電大學
[00:01:38 - 00:01:39] 北京航空航天大學
[00:01:39 - 00:01:40] 這項大學
[00:01:40 - 00:01:41] 東北大學錄取
[00:01:41 - 00:01:43] 錄取 錄取 錄取 錄取
[00:01:43 - 00:01:45] 錄取 錄取 錄取
[00:01:45 - 00:01:46] 中國地區大學錄取
[00:01:46 - 00:01:52] 您常說,窮則獨善其身,達則兼寂天下。
[00:01:52 - 00:01:56] 這句話始終激勵著我向自己的目標邁進。
[00:01:56 - 00:02:00] 希望您放心,我一定會一直努力,不辜負您的期望。
