BV号：BV1Mx411D7s4
标题：BV1Mx411D7s4
链接：https://www.bilibili.com/video/BV1Mx411D7s4
识别语言：zh
语言置信度：1
分段数：115
生成时间：2026-04-04 13:10:37

[00:00:05 - 00:00:06] 啊 干啥呀
[00:00:06 - 00:00:10] 是
[00:00:10 - 00:00:12] 好 欢迎大家来到张老师课堂
[00:00:12 - 00:00:13] 我是张雪峰老师
[00:00:15 - 00:00:17] 首先有一颗 大家都会有差别
[00:00:17 - 00:00:18] 哪一颗 英语
[00:00:19 - 00:00:20] 大家都会有差别
[00:00:20 - 00:00:23] 如果你考学朔 英语他考的是英语
[00:00:23 - 00:00:25] 一 你考专朔 他考的是英语
[00:00:25 - 00:00:28] 二 大家知道英语 英语二什么差别了
[00:00:28 - 00:00:31] 传说当中 英语二比英语要简单一些
[00:00:31 - 00:00:34] 但同学注意 这他们只是个传说
[00:00:34 - 00:00:36] 你要是英语不好的话 英语二也不简单
[00:00:36 - 00:00:38] 你知道吧?英语英语二到底什么差别呢?
[00:00:38 - 00:00:39] 给大家简单说一下
[00:00:39 - 00:00:41] 首先它就第一,单词不一样
[00:00:41 - 00:00:43] 英语英语二单词它大纲词汇
[00:00:43 - 00:00:45] 大家知道考验词汇多少词吧?
[00:00:45 - 00:00:46] 5500,知道吧?
[00:00:46 - 00:00:48] 那么同学英语二是没有超纲词汇的
[00:00:48 - 00:00:50] 英语一是有超纲词汇的
[00:00:50 - 00:00:50] 能明白了吗?
[00:00:50 - 00:00:53] 第二同学注意翻译不一样
[00:00:53 - 00:00:54] 考的内容不一样
[00:00:54 - 00:00:57] 英语一的翻译是一篇文章找出五句话
[00:00:57 - 00:00:59] 让你分别翻译一下,一句话两分
[00:00:59 - 00:01:01] 而英语二的翻译是一整段
[00:01:01 - 00:01:02] 把它翻译一下
[00:01:02 - 00:01:04] 一整段是15分分之不一样
[00:01:04 - 00:01:07] 你觉得翻译五句话跟翻译一整段哪个简单
[00:01:08 - 00:01:10] 我觉得翻译五句话稍微简单一些
[00:01:10 - 00:01:12] 最起码这个不会我下一句说不定会了知道吧
[00:01:12 - 00:01:14] 你这一整段你要不会的都不会了是吧
[00:01:14 - 00:01:17] 那么同学再后作文有差别
[00:01:17 - 00:01:19] 英语的大作文是满分
[00:01:19 - 00:01:20] 二十分是个看出作文
[00:01:20 - 00:01:23] 英语二的作文他满分是一个15分
[00:01:23 - 00:01:24] 是一个同表作文知道吧
[00:01:24 - 00:01:26] 英语作文大家回去练就可以了
[00:01:26 - 00:01:29] 以后我也会给大家讲你这个怎么复习的
[00:01:29 - 00:01:30] 作文这个东西大家首先不要想
[00:01:30 - 00:01:32] 但你可能会写跑题
[00:01:32 - 00:01:33] 这个不很难
[00:01:33 - 00:01:33] 不可能
[00:01:33 - 00:01:35] 除非是你腦袋有坑
[00:01:35 - 00:01:36] 知道吧
